@id	name	brand	addr:district	addr:street	addr:city	@lat	@lon
401494450	Mercado No. 1 Lobaton				Lince	-12.0864127	-77.0326191
401684234	Ultramarket					-12.2157789	-76.9772566
401693254	D'Paso Shopping Center			Avenida Universitaria	San Miguel	-12.0744252	-77.0795829
401833463	Centro Comerical Tacna					-12.0915491	-77.0719191
401833464	Bella Mar					-12.0916406	-77.0713777
401833465	Sandra					-12.0914864	-77.0713166
401836920	Centro Comercial Polvos de Higuereta					-12.1261485	-77.0004760
401836923	Plaza Vea	Plaza Vea		Avenida Aviación	Santiago de Surco	-12.1272269	-77.0011643
401837411	Centro Comercial Preciados			Avenida Alfredo Benavides	Santiago de Surco	-12.1284431	-76.9997089
401838578	Alborada					-12.1274812	-76.9883860
401841919	Centro Comercial Plaza Micaela			Avenida Pachacutec	Villa María del Triunfo	-12.1735511	-76.9485112
401846099	Wong					-12.1118152	-76.9921274
401852695	Ripley	Ripley				-12.1098661	-77.0011829
401853537	Centro Comercial Chacarilla					-12.1117235	-76.9912675
401854468	Centro Comercial Caminos del Inca			Monterrey	Santiago de Surco	-12.1132803	-76.9915528
401860677	Real Plaza Centro Cívico			Avenida Garcilazo de la Vega	Cercado de Lima	-12.0567768	-77.0373307
402701685	Centro Comercial Jessie					-12.0574691	-76.9696463
403118002	Centro Comercial Molina Plaza		La Molina	Avenida Raúl Ferrero		-12.0912706	-76.9501685
403498188	Real Plaza Villa María			Avenida Pachacutec	Villa María del Triunfo	-12.1804976	-76.9423541
403547777	Mercado Mujer Peruana					-12.1427665	-76.9505176
403558526	Mercado Santa Cruz					-12.2270664	-76.9132108
404633919	Point AVA					-12.1058374	-77.0181088
405572375	Strip Mall Paseo del Inca			Avenida Caminos del Inca	Santiago de Surco	-12.1309110	-76.9826501
405572382	Wong			Calle Artesanos	Santiago de Surco	-12.1301670	-76.9824484
405584318	Tottus	Tottus		Avenida Alfredo Mendiola		-11.9652053	-77.0666445
405584780						-11.9587866	-77.0643431
406011945	Centro Comercial Esperanza			Calle Esperanza	Miraflores	-12.1205124	-77.0281260
406050169	Metro	Metro		Calle A. Schell	Miraflores	-12.1231280	-77.0298671
406629773	Centro Comercial El Hueco			Avenida Abancay	Barrios Altos	-12.0541949	-77.0294855
406633069	Vía Veneno			Jirón de la Unión	Lima	-12.0504671	-77.0340627
406633070	Galería Boza			Jirón de la Unión	Lima	-12.0507886	-77.0339665
406633079	La Gran Via					-12.0505491	-77.0346407
406633087	Topitop			Jirón de la Unión	Cercado de Lima	-12.0492811	-77.0332583
408467429	Plaza Santa Catalina			Calle Carlos Villarán	La Victoria	-12.0893952	-77.0199128
408902351	"Mercado ""Virgen Inmaculada"""					-12.1810835	-76.9263767
408909647	Plaza Vea			Avenida Defensores del Morro		-12.1872313	-77.0082107
408909648	Metro			Avenida Defensores del Morro		-12.1810245	-77.0136789
408915041	Mercado de muebles La Colonial			Avenida Óscar Raimundo Benavides	Lima	-12.0505997	-77.0775547
409591537	Mercado Amancaes					-12.0153135	-77.0264878
409832541	Mercado José Galvez					-12.2200595	-76.9062898
410082452	Cyber Plaza			Avenida Garcilazo de la Vega	Cercado de Lima	-12.0569210	-77.0388152
410082453	Plaza Tec			Avenida Garcilazo de la Vega	Cercado de Lima	-12.0572343	-77.0385349
410710368	CC. Polvos Azules de Paruro			Pacasmayo	Lima	-12.0429956	-77.0467176
410710372	Centro Comercial El Progreso			Avenida Argentina		-12.0430604	-77.0491208
410710373	Centro Comercial Mesa Redonda					-12.0429332	-77.0475128
411776202	Mercado El Sol					-12.1594951	-76.9373686
412300802	Metro	Metro		Avenida Manco Cápac		-12.0642441	-77.0287482
412300803	Centro Comercial Señor de Luren			Avenida Abancay	Cercado de Lima	-12.0585827	-77.0296480
412300807	Centro Comercial 5 Continentes			Jirón Montevideo	Cercado de Lima	-12.0574217	-77.0293319
412300808	Centro Comercial Unicachi			Avenida Abancay	Barrios Altos	-12.0575069	-77.0303314
412300809	Centro Comercial Montevideo			Jirón Montevideo	Cercado de Lima	-12.0580698	-77.0304894
413025650	Mercado Modelo			Avenida 28 de Julio	Lima	-12.0643567	-77.0418263
413025654	Centro Comercial Plaza Jesús María			Jirón Mariscal Toribio Luzuriaga	Jesús María	-12.0738297	-77.0504682
413025655	Metro			Avenida General Garzon	Jesús María	-12.0738546	-77.0508202
413025657	Mercado San José			Avenida República Dominicana	Jesús María	-12.0741322	-77.0493032
413030059	Plaza Vea	Plaza Vea		Avenida Brasil	Jesús María	-12.0753428	-77.0530534
413447032	Mercado de Mirones Bajo					-12.0373301	-77.0725858
413974272						-12.0502150	-77.0221572
413983457	Galeria Nuevo Milenio			Avenida Nicolas Ayllon	Lima	-12.0558681	-77.0129250
415607423	Metro	Metro		Progresso	Barranco	-12.1411533	-77.0173717
417091034						-10.6696806	-76.7730897
419174933	Mercado de artesanos					-12.0656759	-77.0396847
419812664	Real Plaza Guardia Civil			Avenida Guardia Civil Sur		-12.1725018	-76.9927735
420269191	Mercado Las Lomas de Pachacamac			Avenida Las Lomas	Villa El Salvador	-12.2412861	-76.9238054
420269197	Mercado 13 de Agosto			Avenida María Reiche	Villa El Salvador	-12.2438064	-76.9198885
420309461	Mercado Ollantay					-12.1372785	-76.9635679
420426038	"Mercado ""Luis Castañeda"""					-12.1409201	-76.9656138
420426071	Mercado Leoncio Prado					-12.1338495	-76.9607219
420911442	Mercado Pacífico 1					-12.1758555	-76.9565289
421119568	Mercado Señor de la Divina Misericordia			Jirón San Clemente	Santiago de Surco	-12.1522117	-76.9922097
422886835	Metro					-12.1984498	-77.0118904
422957134	Mercado San José					-12.1943462	-77.0209985
422964717	Mercado Los Pinos					-12.1892997	-77.0146793
423035829	Mercado La Paradita					-12.1690901	-77.0223586
423472397	Mercado Santa Rosita de V.E.S.					-12.2068774	-76.9409035
423730779	Mercado Tacala					-12.1868888	-76.9896571
424827882	Mercado Familias Unidas			Joaquin Bernal	San Juan de Miraflores	-12.1607606	-76.9651717
427317288	Mercado Fray Martín					-12.2191658	-76.9187498
427318580	Mercado Ciudad de Gosen					-12.2121010	-76.9210202
427318978	Mercado ATECA					-12.2124497	-76.9077437
427550243	Centro Comercial Venturo			Avenida Pedro Venturo		-12.1207185	-76.9964119
429003565	Mercado Los Heraldos				Lima	-11.9663436	-76.9870643
429327585	Mercado Primero de Septiembre					-11.9604934	-76.9835535
429717921	Metro	Metro		Calle 28 de Julio		-11.9386646	-76.6959608
430075294	Centro Comercial Plaza Center				Villa El Salvador	-12.2027320	-76.9331554
430668717	Falabella	Falabella		Avenida Arequipa	Miraflores	-12.1186561	-77.0295720
434614770	Mercado Miguel Grau			Avenida 21 de Junio		-12.0053891	-77.0516528
434743439	Repshop			Avenida Alfredo Benavides	Lima	-12.1278327	-77.0054247
434797075	Primax			Avenida Alfredo Benavides	Lima	-12.1278111	-77.0102012
434799033	Sole					-12.1281503	-77.0075741
434896821	Primax			Avenida Santiago De Surco	Santiago de Surco	-12.1314989	-76.9989099
435044936	Plaza Vea			Avenida Alfredo Benavides		-12.1294903	-76.9838052
435182961	Centro Commercial Las Malvinas					-12.0430719	-77.0447797
435183534	Tambo				Miraflores	-12.1139849	-77.0325132
435185923	Repshop				Miraflores	-12.1143002	-77.0373969
435186963						-12.0440322	-77.0531741
435189141	Altoke					-12.0453231	-77.0658323
435194356	Primax Shop			Panamericana	Lima	-12.1730772	-76.9778205
435196391	Vida			Avenida Universitaria		-12.0878316	-77.0844288
435196863	Almacenes Perla			Calle General Mendiburu	Miraflores	-12.1099396	-77.0498424
435198440						-12.0460573	-77.0655656
435207752	Listo			Avenida Paseo de la República	San Isidro	-12.1025860	-77.0278836
435213829	Listo			Avenida La Marina		-12.0784815	-77.0840732
435315546	MMK Supermarket			Avenida República de Panamá		-12.1076509	-77.0182333
435316891	Asia Market			Avenida Domingo Orue		-12.1060097	-77.0189483
435316899	Acosa					-12.1016967	-77.0191811
435326889	Listo					-12.1348878	-77.0253074
435327818	Jet			Avenida La Paz	Miraflores	-12.1282640	-77.0271283
435335789	Vivanda			Avenida Alfredo Benavides	Miraflores	-12.1243749	-77.0280731
435337649	Grocero Mart			Avenida G. Garcia Rada		-12.3370704	-76.8246141
435340486	Bodega Gladys			Avenida Buenos Aires		-11.8660985	-77.0773696
435346058	Mini Mercado Domenika			Avenida Los Insurgentes		-12.0677144	-77.1038336
435348090	Emancipacion			Avenida Emancipación	Cercado de Lima	-12.0476656	-77.0360453
435348857	Minimarket La Cruz			Calle Marcona		-12.3332890	-76.8215980
435349511	Bodega Palermo			Calle San Martin		-11.8715240	-77.0747208
435349514	Bodega Mia					-11.8714541	-77.0744465
435354035						-12.0469564	-77.0361979
435361653	Alto					-12.0574164	-77.0522473
435366617						-12.0670542	-77.0546961
435373492	Mercado Virgen de Carmen			Jirón Loreto	Breña	-12.0636070	-77.0528660
435385640	Bodega La Planicie			Calle Ricardo Palma		-12.3303559	-76.8290817
435392442	Repshop			Avenida Simón Bolívar	Jesús María	-12.0730237	-77.0557914
435393794	Corporación FIMAVI			Avenida Tingo María	Breña	-12.0525382	-77.0551830
435480022	Centro Comercial Sumac Fashion			Avenida Abancay	Cercado de Lima	-12.0580612	-77.0297350
435481443						-12.0533025	-77.0292084
435485786	Bodega Acuña					-11.8767971	-77.0762328
435487559						-11.8810789	-77.0742902
435488009						-12.0500929	-77.0469139
435496514	Listo			Avenida de Tomás Marsano	Lima	-12.1392211	-76.9943892
435498657	Alex			Avenida Brasil		-12.0965801	-77.0712451
435498658	Listo					-12.0968436	-77.0714544
435503581	Listo			Avenida Ricardo Palma		-12.1195035	-77.0250274
435508114	Bodega Mily			Calle 3		-11.8719048	-77.0713805
435508152	MaxiPlaza					-12.0548530	-77.0387239
435516554				Avenida El Retablo		-11.9230552	-77.0545049
435517538	Listo					-12.1200085	-77.0233839
435546734	Romasa					-11.9136512	-77.0731727
435551149	Listo					-12.0984125	-77.0321519
435551448				Avenida Hipólito Unanue		-12.1096606	-77.0482987
435563995	Elektra			Avenida República de Venezuela	Lima	-12.0548091	-77.0497010
435670850	Listo!			Avenida Santiago De Surco	Lima	-12.1480469	-76.9867534
435672685	Mercado Bolívar			Avenida Bolívar	Villa El Salvador	-12.2211520	-76.9449520
435673745				Calle General Suarez	Miraflores	-12.1145007	-77.0271610
435673930				Avenida Camino Real		-12.1068523	-77.0397366
435675644	Mercado Las Dunas de VIlla			Avenida María Elena Moyano	Villa El Salvador	-12.2360253	-76.9404994
435676693	Repshop			Avenida de Tomás Marsano	Lima	-12.1483917	-76.9859385
435685259	La Limeñita			Jirón Huallaga	Cercado de Lima	-12.0473892	-77.0296644
435713317	Acosa Mini Market			Avenida Antonio José de Sucre		-12.0812495	-77.0667508
435713426	Galería Plaza Union			Plaza Ramon Castilla	Cercado de Lima	-12.0439869	-77.0423271
435713427	Mercado Moderno			Avenida Guillermo Dansey	Cercado de Lima	-12.0456153	-77.0403447
435722155	Mercado Santa Luzmila			Avenida Guillermo de la Fuente	Comas	-11.9422144	-77.0623792
435742427	Bodega Joselito				Lurín	-12.3075633	-76.8377557
435743209	Bodega Los Pulpos			Avenida 7 De Abril	Lurín	-12.3061559	-76.8410198
435828733				Jr. Virgen Del Carmen		-12.3192874	-76.8330749
435831099	Bodega Zevallitos			Avenida 7 De Abril		-12.3175221	-76.8313096
435833776	Viva			Avenida 7 De Abril		-12.3167922	-76.8317225
435833777				Avenida 7 De Abril		-12.3164508	-76.8320320
435839686	Bodega Chang			Avenida 7 De Abril		-12.3122582	-76.8348673
435839687	Bodega Rossana			Avenida 7 De Abril		-12.3121334	-76.8349391
435839899	Galeria Comercial Mega San Felipe			Avenida Universitaria		-11.8997918	-77.0387724
435840718	Comercial Faucett			Avenida Elmer Faucett		-12.0721809	-77.0985854
435866943	Alto					-12.0690873	-77.0974559
435867045	Bodega Isabelita			Avenida 7 De Abril	Lurín	-12.3104470	-76.8361577
435867047	Bodega Consuelo			Avenida 7 De Abril	Lurín	-12.3098297	-76.8366748
435867318	Listo!			Metropolitana		-11.9558909	-77.0594282
435867919	Bodega Gloria			Avenida 7 De Abril	Lurín	-12.3087821	-76.8376447
435868868	Bodega Teresita			Avenida 7 De Abril	Lurín	-12.3077745	-76.8386646
435868869	Bodega Eva Gabriela			Avenida 7 De Abril	Lurín	-12.3077312	-76.8387058
435868871	El Rey			Avenida 7 De Abril	Lurín	-12.3076347	-76.8387731
435869606	Bodega Frank			Avenida 7 De Abril	Lurín	-12.3073572	-76.8391089
435869607	Super Bodega Bolivar			Avenida 7 De Abril	Lurín	-12.3072255	-76.8392347
435876376	Bodega Joselito			Antigua Panamericana Sur		-12.2984005	-76.8490715
435876378	Bodega Vanessa			Antigua Panamericana Sur		-12.2974983	-76.8499921
435879638	Centro Comercial Maranga			Elmer Faucett		-12.0661544	-77.0970433
436262219	18 de Enero			Calle Tristán	La Victoria	-12.0636315	-77.0045230
436266432	Listo					-12.0866193	-77.0917239
436266436	Plaza Vea Super			Avenida de La Paz	San Miguel	-12.0796947	-77.1066912
436271140	Tottus	Tottus		Calle Las Begonias	San Isidro	-12.0960186	-77.0254751
436290268	Ani Market			Avenida Brasil		-12.0965045	-77.0711899
436295982	Listo					-12.0850955	-77.0482308
436299699	La Cooperativa					-12.0758187	-77.0485102
436303337	Real Plaza Puruchuco	Real Plaza		Avenida Nicolás de Ayllón	Ate	-12.0410016	-76.9321109
436304438	Viva			Avenida Paseo de la República		-12.1234284	-77.0250809
436307956	Accu 1			Jirón Mariscal Toribio Luzuriaga	Jesús María	-12.0752236	-77.0491016
436313773	Plaza Vea			Avenida Nicolás de Ayllón	Ate	-12.0321375	-76.9256833
436313864	Vivanda			Avenida Javier Prado Oeste	Magdalena del Mar	-12.0932127	-77.0579121
436313869	Listo			Avenida Javier Prado Oeste		-12.0934377	-77.0572402
436403810	Listo			Faustino Sanchez Carrion		-12.0889777	-77.0588934
436429902	Moderno Mercado Magdalena			Jirón Mariscal Ramon Castilla	Magdalena del Mar	-12.0858281	-77.0724696
436448676	Centro Artesanal Inti Raymi			Avenida La Marina		-12.0828764	-77.0688363
436455348	Colina			Calle Narciso de la Colina		-12.1181395	-77.0285724
436464353	Suspiro's					-12.1505882	-77.0205513
436464367						-12.1524551	-77.0200289
