mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,476.0,4.0,4.0,3.0,69.0,6,1,7,3,2761200.0
750.0,120.0,3.0,3.0,1.0,4.0,0,0,7,1,1184000.0
420.0,125.0,1.0,2.0,1.0,14.0,2,0,7,2,999500.0
200.0,76.0,1.0,1.0,1.0,11.0,5,2,7,2,570860.0
,304.0,5.0,1.0,2.0,14.0,7,0,7,1,4433950.0
,482.0,3.0,6.0,0.0,0.0,3,0,7,1,3350000.0
900.0,164.0,2.0,3.0,2.0,5.0,3,0,7,1,1474000.0
450.0,112.0,3.0,2.0,1.0,23.0,1,0,7,1,948000.0
,193.0,3.0,3.0,2.0,8.0,7,0,7,3,990000.0
580.0,83.0,3.0,2.0,1.0,11.0,7,0,7,2,681120.0
575.0,121.0,3.0,2.0,1.0,6.0,6,0,7,4,822500.0
850.0,270.0,4.0,3.0,2.0,20.0,2,0,7,1,2180000.0
,211.0,3.0,2.0,3.0,10.0,6,0,7,1,1750000.0
,80.0,3.0,2.0,1.0,5.0,8,0,7,1,812444.0
,201.0,4.0,5.0,2.0,18.0,6,1,7,3,1118040.0
350.0,100.0,2.0,2.0,1.0,27.0,7,0,7,2,637300.0
,49.0,1.0,1.0,0.0,51.0,1,0,7,2,320900.0
550.0,101.0,3.0,2.0,1.0,6.0,14,3,7,3,850000.0
300.0,73.0,2.0,1.0,0.0,33.0,9,0,7,1,546960.0
950.0,242.0,4.0,3.0,2.0,22.0,10,0,7,2,4956000.0
,69.0,2.0,2.0,0.0,60.0,6,3,7,2,405000.0
350.0,98.0,2.0,2.0,1.0,18.0,10,0,7,2,714000.0
875.0,225.0,3.0,3.0,2.0,11.0,5,0,7,1,1585000.0
,155.0,3.0,3.0,0.0,0.0,2,0,7,2,1520000.0
800.0,171.0,2.0,2.0,1.0,0.0,6,0,7,3,1225000.0
1200.0,175.0,2.0,2.0,3.0,8.0,10,0,7,2,1718100.0
,264.0,3.0,3.0,2.0,3.0,3,0,7,1,2065000.0
700.0,184.0,3.0,3.0,2.0,20.0,3,0,7,1,1500000.0
500.0,100.0,3.0,2.0,1.0,3.0,4,0,7,2,935000.0
,227.0,3.0,3.0,2.0,0.0,12,0,7,3,1500000.0
1200.0,236.0,3.0,4.0,3.0,9.0,3,0,7,1,2110500.0
,74.0,1.0,1.0,1.0,0.0,9,0,7,1,586500.0
,94.0,1.0,1.0,1.0,10.0,16,0,7,3,654019.0
,39.0,3.0,1.0,0.0,0.0,7,0,7,3,390761.0
692.0,145.0,3.0,3.0,2.0,10.0,8,0,7,1,1016600.0
448.0,112.0,3.0,2.0,1.0,0.0,9,0,7,2,947188.0
,255.0,3.0,4.0,2.0,0.0,6,0,7,1,2270000.0
,508.0,5.0,4.0,5.0,11.0,7,0,7,1,2242795.0
,327.0,3.0,3.0,4.0,30.0,3,1,7,1,3151000.0
1600.0,364.0,4.0,5.0,2.0,6.0,3,0,7,1,4368000.0
1.0,102.0,3.0,2.0,2.0,15.0,4,1,7,1,765000.0
,105.0,3.0,3.0,1.0,1.0,11,0,7,1,904495.0
,175.0,3.0,3.0,2.0,0.0,10,0,7,2,1507500.0
1000.0,317.0,5.0,3.0,2.0,13.0,12,0,7,3,1668500.0
,580.0,4.0,3.0,2.0,52.0,8,0,7,1,4557600.0
