mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
80.0,70.0,3.0,2.0,0.0,0.0,8,0,6,3,304200.0
150.0,143.0,3.0,2.0,1.0,2.0,17,0,9,4,586500.0
1.0,146.0,3.0,2.0,1.0,15.0,4,0,7,1,754650.0
1076.0,177.0,3.0,3.0,2.0,15.0,5,0,7,1,1541000.0
,505.0,2.0,2.0,0.0,30.0,10,1,8,3,2229000.0
400.0,99.0,3.0,2.0,0.0,0.0,9,0,7,1,803048.0
,237.0,6.0,4.0,4.0,50.0,16,0,6,3,1186500.0
,1060.0,3.0,2.0,6.0,45.0,6,0,7,1,3622500.0
,1450.0,5.0,7.0,10.0,1.0,3,0,7,1,4140000.0
,585.0,4.0,6.0,2.0,12.0,0,0,7,1,3566600.0
,832.0,3.0,4.0,2.0,20.0,2,0,7,1,3346500.0
,1306.0,3.0,2.0,0.0,10.0,19,0,8,2,4441760.0
1.0,72.0,3.0,2.0,0.0,0.0,7,0,4,1,591533.0
,267.0,4.0,2.0,0.0,1.0,13,0,2,2,837500.0
1450.0,411.0,4.0,4.0,3.0,14.0,5,0,7,1,2738466.0
250.0,104.0,3.0,3.0,1.0,28.0,12,0,7,1,465750.0
,67.0,2.0,1.0,1.0,11.0,7,0,8,3,275000.0
,528.0,4.0,4.0,2.0,30.0,0,0,7,1,1169150.0
100.0,110.0,3.0,2.0,1.0,0.0,13,0,7,2,714150.0
,659.0,5.0,4.0,4.0,35.0,5,0,7,1,4158000.0
,169.0,5.0,2.0,0.0,47.0,29,0,4,4,550000.0
,4099.0,5.0,9.0,8.0,60.0,0,0,10,1,8450000.0
215.0,75.0,3.0,2.0,0.0,17.0,8,0,7,2,335000.0
,102.0,4.0,2.0,1.0,18.0,11,1,7,1,692000.0
,132.0,3.0,2.0,0.0,23.0,9,0,7,1,770000.0
,61.0,1.0,1.0,0.0,50.0,9,0,6,1,285271.0
760.0,220.0,3.0,4.0,3.0,8.0,6,0,7,1,1980000.0
,890.0,3.0,2.0,2.0,50.0,6,0,7,1,2864500.0
250.0,69.0,3.0,2.0,0.0,0.0,18,0,6,3,524800.0
950.0,178.0,3.0,3.0,2.0,10.0,14,1,7,4,1400100.0
,350.0,8.0,4.0,0.0,0.0,18,1,5,2,1156000.0
,2500.0,8.0,9.0,0.0,7.0,0,0,10,1,7705000.0
300.0,71.0,3.0,2.0,0.0,0.0,21,0,6,3,550000.0
,2887.0,4.5,5.0,0.0,1.0,5,0,5,1,1750000.0
,275.0,3.0,4.0,5.0,0.0,4,1,7,1,2893020.0
120.0,85.0,2.0,2.0,0.0,25.0,5,0,7,1,482800.0
520.0,98.0,2.0,2.0,1.0,8.0,0,0,10,1,663000.0
900.0,188.0,2.0,2.0,2.0,0.0,4,0,7,1,2900000.0
,67.0,2.0,1.0,0.0,40.0,0,0,6,1,285000.0
,105.0,3.0,2.0,0.0,12.0,21,0,3,4,425080.0
