precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
1367180.0,394000.0,,130.0,3.0,2.0,1.0,0.0,,2026-04-29,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-san-isidro-130-m-sup2--3-dorm.-c-bano-cuarto-de-149695720.html?n_src=Listado&n_pills=Seguridad&n_pg=2&n_pos=26,"cercano a country club lima y av salaverry, san isidro"
,,,58.0,2.0,2.0,,1.0,190.0,2026-01-22,jesus maria,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-se-vende-hermoso-departamento-en-j.-maria-148728345.html?n_src=Listado&n_pills=Piscina&n_pg=2&n_pos=27,"av brasil 2347 lima 15084 peru, jesus maria"
,,,142.0,,,,0.0,24.0,2026-03-12,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-el-distrito-de-santa-rosa-149244777.html?n_src=Listado&n_pg=2&n_pos=28,"urb praderas de lima norte santa rosa, santa rosa"
1632000.0,480000.0,760.0,180.0,3.0,2.0,2.0,25.0,49.0,2025-11-11,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-en-san-isidro-148152222.html?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=29,"pezet san isidro san isidro lima, san isidro"
3019200.0,888000.0,1100.0,200.0,3.0,4.0,3.0,4.0,170.0,2026-01-12,san isidro,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-exclusivo-departamento-flat-de-200-m-sup2--frente-al-148623715.html?n_src=Listado&n_pills=Gimnasio&n_pg=2&n_pos=30,"aurelio miroquesada, san isidro"
525000.0,150000.0,,120.0,4.0,2.0,2.0,8.0,186.0,2026-04-03,smp,C,https://www.adondevivir.com/propiedades/clasificado/veclcain--oportunidad-para-tu-hogar-o-negocio-en-urb-san-diego-149444466.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=11,"san diego, san martin de porres"
9667969.0,2818650.0,,2967.0,,,,35.0,15.0,2026-04-23,sjl,D,https://www.adondevivir.com/propiedades/clasificado/veclniin-gran-local-almacen-de-2-967-m-sup2--ideal-para-149635706.html?n_src=Listado&n_pg=3&n_pos=12,"av el sol 235 lima 15419 peru, san juan de lurigancho"
29050000.0,8300000.0,,562.0,,30.0,,19.0,58.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vta.-c.-lima-jr.-ayacucho-edifi-comercial-90717277.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=3&n_pos=13,"jr ayacucho, lima cercado"
5715000.0,1500000.0,,1153.0,,,20.0,55.0,32.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-local-comercial-venta-lima-centro-historico-at.1153-145261906.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=3&n_pos=14,"jiron callao 300, lima cercado"
1148000.0,328000.0,,372.0,8.0,4.0,2.0,39.0,127.0,2025-10-12,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-en-cercado-de-lima-urb.-roma-3plantas-147870763.html?n_src=Listado&n_pills=Seguridad&n_pg=3&n_pos=15,"urbroma casa 3plantas mas aires 2cocheras, lima cercado"
