mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
300.0,64.0,1.0,1.0,0.0,0.0,14,0,7,2,2300.0
280.0,88.0,3.0,2.0,0.0,5.0,18,0,6,2,2700.0
,54.0,3.0,1.0,0.0,9.0,6,0,1,2,900.0
,90.0,2.0,1.0,0.0,0.0,13,0,8,4,1750.0
445.0,147.0,3.0,2.0,2.0,37.0,0,0,7,1,6740.0
200.0,50.0,1.0,1.0,0.0,0.0,16,0,6,2,2150.0
500.0,117.0,3.0,2.0,2.0,14.0,12,1,7,1,4400.0
180.0,95.0,5.0,2.0,1.0,10.0,10,0,6,3,3287.0
400.0,125.0,3.0,3.0,1.0,6.0,0,0,10,1,2100.0
350.0,70.0,2.0,1.0,1.0,12.0,9,0,7,1,2750.0
350.0,71.0,3.0,2.0,0.0,0.0,12,0,6,2,3100.0
1000.0,195.0,3.0,2.0,2.0,12.0,0,0,9,1,6290.0
380.0,86.0,3.0,2.0,1.0,3.0,8,0,6,2,3600.0
740.0,150.0,3.0,2.0,2.0,6.0,7,0,7,1,5920.0
,65.0,2.0,1.0,0.0,19.0,9,0,8,2,2200.0
350.0,73.0,2.0,1.0,1.0,14.0,11,0,8,2,3200.0
250.0,65.0,2.0,2.0,0.0,2.0,16,3,4,4,2490.0
300.0,70.0,3.0,2.0,1.0,6.0,4,0,7,3,2500.0
270.0,42.0,1.0,1.0,1.0,9.0,12,0,6,2,1600.0
,138.0,4.0,3.0,1.0,20.0,17,0,7,2,4300.0
200.0,69.0,3.0,2.0,1.0,0.0,7,0,4,1,3100.0
,28.0,1.0,1.0,0.0,0.0,4,0,8,1,1700.0
300.0,70.0,2.0,2.0,1.0,8.0,10,0,6,2,2550.0
250.0,79.0,3.0,2.0,0.0,6.0,14,0,6,2,2400.0
380.0,75.0,2.0,2.0,1.0,10.0,2,0,6,2,2890.0
280.0,61.0,2.0,2.0,1.0,1.0,3,0,6,2,3790.0
,58.0,2.0,2.0,0.0,0.0,11,1,7,2,2850.0
150.0,70.0,2.0,1.0,0.0,2.0,12,0,7,1,2500.0
220.0,75.0,3.0,2.0,1.0,18.0,14,0,8,2,2700.0
400.0,67.0,2.0,2.0,1.0,8.0,8,0,8,2,3200.0
290.0,78.0,3.0,2.0,0.0,7.0,8,0,6,3,2200.0
,70.0,3.0,2.0,0.0,2.0,12,1,8,1,2700.0
,30.0,1.0,1.0,0.0,0.0,0,0,7,1,1000.0
250.0,51.0,1.0,1.0,0.0,0.0,4,1,7,1,2900.0
350.0,71.0,1.0,1.0,0.0,40.0,6,0,7,1,2800.0
560.0,205.0,3.0,3.0,1.0,30.0,9,0,7,2,5920.0
,60.0,2.0,2.0,0.0,5.0,11,0,8,4,2700.0
120.0,60.0,3.0,1.0,0.0,4.0,5,0,1,2,1000.0
,40.0,1.0,1.0,0.0,0.0,9,0,6,3,1000.0
250.0,38.0,1.0,1.0,0.0,5.0,9,0,8,3,2803.0
150.0,72.0,3.0,2.0,1.0,1.0,2,0,4,2,2000.0
120.0,70.0,3.0,2.0,0.0,0.0,19,0,6,3,1750.0
,35.0,1.0,1.0,0.0,6.0,8,0,7,2,1175.0
320.0,50.0,1.0,1.0,1.0,18.0,8,0,7,1,2080.0
,55.0,2.0,1.0,0.0,0.0,11,0,7,3,1300.0
500.0,270.0,3.0,4.0,0.0,27.0,5,0,7,1,7480.0
200.0,62.0,2.0,2.0,0.0,0.0,10,1,7,2,2900.0
300.0,100.0,3.0,2.0,2.0,15.0,4,0,7,3,2800.0
,45.0,1.0,1.0,0.0,2.0,13,1,8,3,2500.0
,85.0,3.0,2.0,0.0,0.0,12,0,7,1,2400.0
340.0,74.0,3.0,2.0,1.0,2.0,9,0,8,4,3400.0
,85.0,3.0,1.0,0.0,8.0,7,2,1,4,999.0
170.0,45.0,1.0,1.0,0.0,1.0,19,0,6,3,1850.0
260.0,93.0,3.0,2.0,0.0,6.0,13,0,6,2,2300.0
250.0,68.0,2.0,2.0,0.0,6.0,6,0,8,3,2799.0
,120.0,3.0,3.0,1.0,5.0,12,0,7,1,2800.0
,66.0,2.0,2.0,1.0,0.0,23,0,6,2,2650.0
170.0,43.0,1.0,1.0,0.0,5.0,10,0,8,2,2100.0
450.0,125.0,2.0,3.0,1.0,5.0,6,0,7,1,4368.0
10.0,75.0,2.0,2.0,1.0,3.0,22,0,6,3,2000.0
,30.0,1.0,1.0,0.0,10.0,14,0,7,4,900.0
250.0,70.0,2.0,2.0,0.0,6.0,8,0,6,2,2000.0
100.0,63.0,3.0,1.0,1.0,0.0,19,0,1,4,990.0
100.0,97.0,3.0,2.0,1.0,15.0,9,0,7,1,2800.0
,44.0,1.0,1.0,0.0,0.0,14,0,6,2,2300.0
175.0,39.0,1.0,1.0,0.0,1.0,12,0,8,2,1850.0
200.0,40.0,1.0,1.0,0.0,0.0,9,0,8,4,1850.0
750.0,155.0,3.0,3.0,2.0,14.0,12,0,8,2,4000.0
265.0,100.0,3.0,2.0,1.0,8.0,17,1,8,2,2400.0
400.0,87.0,2.0,2.0,1.0,13.0,8,0,6,2,3300.0
150.0,70.0,2.0,2.0,0.0,12.0,12,0,7,3,1600.0
150.0,119.0,3.0,2.0,1.0,10.0,12,0,8,3,2200.0
,50.0,1.0,1.0,0.0,3.0,18,0,6,2,2050.0
150.0,40.0,1.0,1.0,0.0,19.0,2,0,7,2,1550.0
650.0,123.0,2.0,2.0,2.0,12.0,6,0,7,1,3850.0
,30.0,1.0,1.0,0.0,0.0,9,1,4,3,800.0
190.0,45.0,1.0,1.0,0.0,0.0,4,1,7,1,2599.0
200.0,79.0,2.0,2.0,1.0,18.0,6,0,7,1,2500.0
600.0,140.0,1.0,2.0,2.0,14.0,3,0,8,2,3650.0
350.0,126.0,3.0,3.0,0.0,3.0,0,0,10,1,5600.0
350.0,100.0,3.0,2.0,1.0,5.0,7,0,6,2,4590.0
200.0,77.0,3.0,2.0,1.0,11.0,12,0,7,4,2400.0
250.0,79.0,2.0,2.0,0.0,2.0,8,0,4,4,2500.0
410.0,97.0,2.0,2.0,1.0,5.0,1,0,7,1,3800.0
240.0,45.0,1.0,1.0,0.0,4.0,4,1,7,1,2500.0
