mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,30.0,1.0,1.0,0.0,10.0,17,0,7,3,1200.0
450.0,109.0,3.0,3.0,1.0,0.0,10,0,7,3,5300.0
820.0,123.0,2.0,2.0,1.0,15.0,5,0,7,1,4930.0
300.0,60.0,2.0,2.0,1.0,0.0,1,0,7,2,3600.0
319.0,63.0,2.0,1.0,1.0,20.0,8,0,7,3,2800.0
,85.0,2.0,2.0,1.0,8.0,3,1,7,1,4320.0
370.0,63.0,2.0,2.0,1.0,15.0,7,0,7,2,2900.0
350.0,92.0,2.0,2.0,1.0,7.0,5,0,7,1,4549.0
363.0,52.0,1.0,1.0,0.0,0.0,7,0,7,2,2659.0
400.0,76.0,2.0,2.0,1.0,0.0,7,0,7,2,3903.0
280.0,82.0,2.0,2.0,1.0,0.0,2,1,7,1,3500.0
363.0,52.0,1.0,1.0,0.0,0.0,6,1,7,2,2640.0
410.0,90.0,3.0,3.0,1.0,0.0,1,0,7,1,4300.0
1500.0,540.0,3.0,3.0,1.0,4.0,3,1,7,1,9350.0
800.0,235.0,3.0,3.0,1.0,10.0,7,0,7,2,9340.0
450.0,95.0,2.0,2.0,2.0,8.0,5,0,7,2,4100.0
280.0,65.0,1.0,1.0,1.0,4.0,9,0,7,1,2784.0
,100.0,3.0,2.0,1.0,28.0,2,0,7,1,3600.0
380.0,74.0,1.0,2.0,1.0,20.0,5,0,7,1,2800.0
750.0,109.0,3.0,2.0,2.0,2.0,6,1,7,2,5788.0
400.0,187.0,3.0,2.0,2.0,10.0,10,0,7,1,5500.0
372.0,60.0,2.0,2.0,0.0,0.0,6,1,7,2,3050.0
330.0,75.0,1.0,1.0,1.0,2.0,5,0,7,2,2745.0
580.0,230.0,3.0,3.0,2.0,5.0,5,0,7,1,7392.0
,55.0,2.0,2.0,0.0,0.0,6,1,7,2,3049.0
260.0,55.0,1.0,1.0,1.0,8.0,7,0,7,2,2500.0
430.0,116.0,2.0,2.0,0.0,38.0,4,0,7,2,4420.0
330.0,82.0,2.0,2.0,1.0,9.0,9,0,7,3,3500.0
450.0,90.0,2.0,2.0,1.0,3.0,7,0,7,2,4337.0
920.0,187.0,3.0,3.0,2.0,6.0,14,0,7,1,7560.0
260.0,35.0,1.0,1.0,0.0,0.0,5,1,7,2,2000.0
1.0,75.0,3.0,2.0,0.0,0.0,1,0,7,2,3600.0
400.0,86.0,3.0,3.0,1.0,5.0,7,0,7,2,4380.0
800.0,150.0,3.0,2.0,2.0,9.0,9,2,7,3,7175.0
370.0,84.0,3.0,1.0,1.0,19.0,8,0,7,2,3860.0
370.0,110.0,3.0,2.0,1.0,9.0,10,0,7,2,5760.0
454.0,130.0,1.0,1.0,1.0,12.0,5,0,7,2,4760.0
300.0,60.0,1.0,2.0,0.0,0.0,5,0,7,1,2800.0
364.0,52.0,1.0,1.0,0.0,0.0,7,1,7,3,2669.0
890.0,115.0,2.0,2.0,1.0,15.0,5,0,7,1,5830.0
211.0,65.0,1.0,2.0,1.0,9.0,13,0,7,4,2243.0
1000.0,200.0,2.0,2.0,2.0,5.0,12,0,7,3,7800.0
464.0,153.0,3.0,2.0,2.0,7.0,2,0,7,2,6460.0
400.0,180.0,3.0,4.0,2.0,0.0,9,0,7,1,5040.0
320.0,50.0,2.0,2.0,0.0,0.0,5,1,7,2,2900.0
,48.0,1.0,1.0,0.0,20.0,7,0,7,2,2000.0
650.0,220.0,3.0,3.0,2.0,8.0,4,0,7,1,8170.0
390.0,120.0,2.0,2.0,1.0,6.0,9,0,7,3,3060.0
700.0,210.0,3.0,2.0,1.0,20.0,1,0,7,1,8250.0
280.0,74.0,1.0,1.0,0.0,12.0,0,0,7,1,2720.0
400.0,135.0,4.0,3.0,1.0,25.0,6,0,7,2,5500.0
380.0,88.0,2.0,2.0,1.0,0.0,10,1,7,1,3200.0
,60.0,1.0,1.0,1.0,25.0,1,0,7,1,4030.0
260.0,80.0,3.0,3.0,1.0,15.0,4,1,7,1,2475.0
180.0,48.0,1.0,1.0,1.0,0.0,1,0,7,2,2600.0
400.0,135.0,3.0,3.0,2.0,5.0,1,0,7,1,3840.0
180.0,55.0,2.0,2.0,0.0,0.0,9,0,7,3,2721.0
600.0,120.0,2.0,3.0,2.0,9.0,3,0,7,2,4152.0
,65.0,2.0,2.0,1.0,1.0,13,3,7,3,3600.0
