precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,direccion_completa,latitud,longitud,URL
1650.0,,120.0,28.0,1.0,1.0,,9.0,468.0,2025-04-13,lima cercado,C,"av arequipa 1384, lima cercado",-12.0782505,-77.0355648,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-minidepartamento-en-1er-piso-en-santa-145024490.html
2400.0,690.0,260.0,60.0,2.0,2.0,,3.0,18.0,2025-06-12,lima cercado,C,"flat desamoblado en el piso 3 en javier prado oeste en magdalena limite con san isidro, lima",-12.0942284,-77.04988190000002,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-magdalena-146699858.html
1450.0,,70.0,55.0,2.0,1.0,,10.0,378.0,2025-06-15,san miguel,B,"jr prolongacion ayacucho, san miguel",-12.0824945,-77.0806218,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-san-miguel-limite-con-magdalena-146204274.html
6516.0,1800.0,862.0,190.0,2.0,2.0,2.0,30.0,,2025-06-15,san isidro,A,"san isidro, san isidro",-34.470829,-58.5286102,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-amoblado-con-linda-vista-al-golf-146724331.html
2100.0,600.0,180.0,72.0,3.0,2.0,1.0,1.0,73.0,2025-06-15,surco,A,"vulcano, santiago de surco",-12.167371,-76.9945258,https://www.adondevivir.com/propiedades/clasificado/alclapin-surco-cerca-fap-2-100-soles-3dorm-nuevo-balcon-146623900.html
3145.0,850.0,160.0,135.0,3.0,2.0,2.0,41.0,72.0,2025-06-15,san borja,A,"cavallini 198, san borja",-12.0875539,-76.9897125,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-san-borja-3-dorm.-con-146723473.html
5180.0,1400.0,500.0,117.0,3.0,2.0,1.0,4.0,,2025-06-15,miraflores,A,"calle san martin 639, miraflores",-12.1265516,-77.0277049,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-hermoso-flat-de-estreno-con-vista-a-la-146341627.html
2500.0,675.0,260.0,72.0,3.0,2.0,1.0,0.0,126.0,2025-06-17,pueblo libre,B,"av simon bolivar 1209, pueblo libre",-12.0725669,-77.0665783,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto.-de-estreno-pueblo-libre-146554062.html
2950.0,800.0,240.0,98.0,2.0,2.0,1.0,12.0,201.0,2025-06-15,miraflores,A,"calle tripoli, miraflores",-12.1249985,-77.0355388,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-2-hab.-cerca-al-malecon-en-146350487.html
3490.0,950.0,370.0,120.0,3.0,3.0,1.0,7.0,201.0,2025-06-15,miraflores,A,"av jose pardo 935, miraflores",-12.1192461,-77.0384888,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-bello-depart-3dorm.-balcon-amoblado-146619942.html
3916.0,1150.0,300.0,120.0,2.0,3.0,1.0,9.0,102.0,2025-06-15,miraflores,A,"calle o'donoban 290, miraflores",-12.1308617,-77.031066,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-bello-dpto-2-dorms-f-amoblado100-m-142609896.html
2400.0,648.0,200.0,74.0,3.0,2.0,1.0,11.0,219.0,2025-06-14,jesus maria,B,"av brasil 1055, jesus maria",-12.0700932,-77.04908660000001,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-av-brasil-a-dos-cuadras-de-146525723.html
