,Unnamed: 0,precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,nivel_socioeconomico,latitud,longitud,num_colegios_prox,num_malls_prox,num_hospitales_prox,año,mes,dia,dia_semana,semana,es_fin_de_semana,distrito_ate,distrito_barranco,distrito_brena,distrito_callao,distrito_carabayllo,distrito_chaclacayo,distrito_chorrillos,distrito_cieneguilla,distrito_comas,distrito_el agustino,distrito_independencia,distrito_jesus maria,distrito_la molina,distrito_la victoria,distrito_lima cercado,distrito_lince,distrito_los olivos,distrito_lurigancho,distrito_lurin,distrito_magdalena,distrito_miraflores,distrito_pachacamac,distrito_pucusana,distrito_pueblo libre,distrito_puente piedra,distrito_punta hermosa,distrito_punta negra,distrito_rimac,distrito_san bartolo,distrito_san borja,distrito_san isidro,distrito_san luis,distrito_san miguel,distrito_santa anita,distrito_santa maria del mar,distrito_sjl,distrito_sjm,distrito_smp,distrito_surco,distrito_surquillo,distrito_ves,distrito_vmt
60,60,3680.0,420.0,105.0,2.0,2.0,1.0,0.0,20.0,4,-12.1067208,-77.03047149999999,5,0,4,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,61,2000.0,160.0,50.0,1.0,1.0,1.0,6.0,219.0,2,-12.1124923,-77.0122039,7,1,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
62,62,2700.0,310.0,110.0,3.0,2.0,1.0,12.0,120.0,4,-12.1401329,-76.9858572,7,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,63,3066.0,310.0,103.0,2.0,2.0,1.0,41.0,59.0,4,-12.097919,-77.00207689999999,6,0,3,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
64,64,1700.0,190.0,54.0,3.0,1.0,1.0,0.0,206.0,4,-12.1564022,-76.9939384,2,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
65,65,3260.0,300.0,68.0,2.0,2.0,1.0,12.0,18.0,4,-12.1282915,-77.0260415,3,0,1,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,66,2000.0,200.0,70.0,2.0,2.0,1.0,7.0,61.0,2,-12.1112771,-77.0245369,4,0,2,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
67,67,1700.0,310.0,40.0,1.0,1.0,1.0,15.0,51.0,3,-12.0812285,-77.065467,9,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,68,980.0,310.0,30.0,1.0,1.0,1.0,1.0,123.0,3,13.4792922,-88.1779182,0,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
69,69,1700.0,10.0,90.0,2.0,2.0,1.0,7.0,61.0,4,-12.1398709,-76.9865357,5,0,0,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
70,70,1100.0,120.0,50.0,3.0,1.0,1.0,7.0,61.0,2,-11.9317165,-77.0636913,9,0,0,2025,6,11,2,24,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,71,3650.0,310.0,103.0,3.0,3.0,1.0,6.0,61.0,4,-12.1456994,-76.99645,5,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
72,72,11970.0,830.0,245.0,4.0,3.0,3.0,8.0,26.0,4,-34.470829,-58.5286102,0,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
73,73,2300.0,70.0,60.0,1.0,1.0,1.0,38.0,61.0,4,-12.0970297,-77.03391189999999,5,1,2,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
74,74,4500.0,600.0,90.0,2.0,2.0,1.0,3.0,61.0,4,-12.122486,-77.0313539,5,1,2,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,75,2560.0,170.0,53.0,1.0,1.0,1.0,8.0,61.0,3,-12.0782498,-77.0991391,17,0,1,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,76,2920.0,380.0,44.0,1.0,1.0,1.0,1.0,61.0,4,-34.470829,-58.5286102,0,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
77,77,6200.0,500.0,110.0,2.0,2.0,2.0,0.0,61.0,4,-34.470829,-58.5286102,0,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
78,78,5980.0,720.0,129.0,3.0,2.0,1.0,30.0,61.0,4,-34.470829,-58.5286102,0,0,0,2025,6,4,2,23,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
