precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,zona_apeim_cod
3534.0,350.0,105.0,3.0,2.0,1.0,2.0,7.0
4243.0,450.0,100.0,2.0,2.0,1.0,0.0,7.0
3800.0,300.0,93.0,2.0,2.0,1.0,10.0,7.0
3100.0,350.0,105.0,2.0,2.0,1.0,5.0,7.0
3380.0,190.0,120.0,3.0,2.0,,15.0,7.0
3470.0,300.0,90.0,2.0,3.0,1.0,3.0,7.0
4440.0,380.0,118.0,3.0,2.0,1.0,8.0,7.0
3700.0,360.0,60.0,1.0,1.0,1.0,18.0,7.0
4344.0,400.0,137.0,3.0,2.0,1.0,56.0,7.0
3750.0,400.0,120.0,2.0,3.0,2.0,16.0,7.0
4300.0,290.0,84.0,3.0,2.0,2.0,,7.0
3700.0,400.0,95.0,2.0,2.0,1.0,15.0,7.0
3500.0,456.0,110.0,2.0,2.0,1.0,5.0,7.0
3420.0,720.0,119.0,2.0,2.0,1.0,4.0,7.0
3620.0,400.0,135.0,3.0,1.0,1.0,,7.0
3175.0,336.0,96.0,3.0,3.0,1.0,150.0,7.0
3650.0,450.0,85.0,2.0,2.0,1.0,9.0,7.0
4428.0,600.0,102.0,2.0,2.0,2.0,12.0,7.0
3470.0,320.0,75.0,1.0,1.0,,10.0,7.0
3700.0,420.0,115.0,3.0,2.0,1.0,12.0,7.0
3270.0,350.0,93.0,2.0,3.0,1.0,6.0,7.0
3750.0,500.0,115.0,2.0,2.0,2.0,8.0,7.0
4360.0,351.0,125.0,3.0,2.0,1.0,47.0,7.0
3515.0,370.0,100.0,1.0,1.0,1.0,5.0,7.0
3700.0,500.0,120.0,3.0,2.0,1.0,10.0,7.0
4380.0,400.0,100.0,3.0,4.0,1.0,40.0,7.0
3750.0,450.0,98.0,3.0,2.0,1.0,0.0,7.0
3500.0,280.0,60.0,2.0,2.0,1.0,0.0,7.0
3500.0,260.0,58.0,2.0,2.0,1.0,0.0,7.0
4070.0,380.0,105.0,3.0,2.0,1.0,18.0,7.0
3200.0,360.0,90.0,2.0,2.0,1.0,10.0,7.0
3400.0,350.0,90.0,2.0,2.0,1.0,,7.0
3150.0,253.0,115.0,2.0,2.0,1.0,3.0,7.0
4255.0,500.0,128.0,2.0,2.0,2.0,5.0,7.0
3440.0,300.0,80.0,2.0,2.0,1.0,10.0,7.0
3637.0,300.0,63.0,2.0,2.0,,0.0,7.0
4070.0,449.0,128.0,2.0,2.0,,,7.0
3200.0,350.0,70.0,1.0,2.0,1.0,12.0,7.0
3937.0,420.0,63.0,2.0,1.0,,1.0,7.0
3420.0,350.0,80.0,2.0,2.0,1.0,7.0,7.0
3420.0,350.0,90.0,2.0,2.0,1.0,6.0,7.0
3993.0,630.0,105.0,3.0,4.0,1.0,8.0,7.0
4070.0,,,,,,,7.0
3980.0,,163.0,3.0,3.0,2.0,13.0,7.0
3630.0,450.0,89.0,2.0,2.0,1.0,9.0,7.0
4400.0,500.0,107.0,3.0,2.0,1.0,,7.0
3190.0,280.0,60.0,1.0,2.0,1.0,9.0,7.0
3750.0,420.0,82.0,1.0,2.0,1.0,7.0,7.0
4125.0,420.0,92.0,2.0,2.0,1.0,8.0,7.0
4000.0,400.0,82.0,2.0,2.0,1.0,5.0,7.0
3480.0,330.0,120.0,2.0,1.0,1.0,30.0,7.0
3100.0,400.0,71.0,2.0,2.0,,0.0,7.0
3583.0,350.0,87.0,2.0,1.0,1.0,9.0,7.0
3650.0,365.0,91.0,1.0,2.0,1.0,3.0,7.0
3600.0,450.0,116.0,3.0,2.0,1.0,17.0,7.0
3375.0,650.0,80.0,1.0,1.0,,2.0,7.0
4070.0,400.0,90.0,2.0,2.0,1.0,12.0,7.0
3885.0,550.0,125.0,2.0,2.0,2.0,15.0,7.0
3145.0,260.0,64.0,1.0,1.0,1.0,17.0,7.0
3832.0,480.0,100.0,2.0,2.0,1.0,15.0,7.0
3110.0,350.0,64.0,1.0,1.0,1.0,10.0,7.0
3800.0,380.0,66.0,2.0,2.0,1.0,1.0,7.0
3700.0,500.0,115.0,2.0,2.0,2.0,12.0,7.0
3294.0,365.0,85.0,2.0,2.0,1.0,10.0,7.0
4387.0,380.0,120.0,3.0,2.0,1.0,8.0,7.0
3100.0,270.0,80.0,2.0,2.0,1.0,14.0,7.0
3300.0,550.0,120.0,2.0,2.0,2.0,6.0,7.0
4560.0,350.0,110.0,3.0,3.0,1.0,30.0,7.0
3486.0,370.0,140.0,2.0,2.0,1.0,14.0,7.0
3500.0,400.0,80.0,2.0,2.0,1.0,,7.0
3330.0,520.0,76.0,2.0,2.0,1.0,2.0,7.0
3150.0,450.0,80.0,2.0,2.0,1.0,3.0,7.0
4070.0,600.0,110.0,2.0,2.0,1.0,12.0,7.0
3500.0,,120.0,4.0,3.0,,40.0,7.0
