nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
innova schools - bertello,lima,sub lote 5-b mz c lote 3-4-5,inicial - jardin,privada - particular,-12.06259,-77.06233
0001 maria auxiliadora,lima,jiron isaias clivio 237,primaria,publica - en convenio,-12.04671,-77.01373
0035 nuestra senora de la visitacion,lima,jiron pacasmayo 550,inicial - jardin,publica - sector educacion,-12.046186,-77.046883
0038 san martin de porres,lima,jiron ascope 142,primaria,publica - sector educacion,-12.03948,-77.04636
0040 hipolito unanue,lima,avenida elvira garcia y garcia s/n,basica alternativa - avanzado,publica - sector educacion,-12.05265,-77.0704
0095 maria auxiliadora,lima,avenida materiales 2005,primaria,publica - sector educacion,-12.04113,-77.06812
0099 oscar miro quesada de la guerra,lima,jiron paruro 231,primaria,publica - sector educacion,-12.04595,-77.02188
022 republica de guatemala,lima,jiron manuel pardo 225,secundaria,publica - sector educacion,-12.04685,-77.01556
030 santa teresita del divino nino,lima,jiron jose diaz 412,inicial - jardin,publica - sector educacion,-12.06868,-77.03501
06 republica de holanda,lima,jiron carabaya 1171,inicial - jardin,publica - sector educacion,-12.05526,-77.03562
077 manzanilla,lima,avenida nicolas ayllon cdra 3 s/n,inicial - cuna jardin,publica - sector educacion,-12.05753,-77.01097
088 nina maria,lima,jiron conde de superunda 446,inicial - cuna jardin,publica - municipalidad,-12.04297,-77.03416
097 ministerio publico,lima,jiron ayacucho 613,inicial - cuna jardin,publica - otro sector publico,-12.05165,-77.02742
100 virgen de la merced,lima,avenida morales duarez 2053,inicial - jardin,publica - sector educacion,-12.03522,-77.0685
1001 jose jimenez borja,lima,jiron washington 1454,secundaria,publica - sector educacion,-12.05908,-77.03922
101 libertador simon bolivar,lima,jiron ramon carcamo 195,inicial - jardin,publica - sector educacion,-12.040281,-77.051309
1015 republica de italia,lima,avenida venezuela cdra 27 block 5 s/n,inicial - jardin,publica - sector educacion,-12.05946,-77.07164
1016 john f. kennedy,lima,avenida venezuela s/n,primaria,publica - sector educacion,-12.0589,-77.07191
102 hospital dos de mayo,lima,avenida grau cuadra 12 s/n,inicial - cuna jardin,publica - otro sector publico,-12.05672,-77.01668
1021 republica federal de alemania,lima,avenida belisario sosa pelaez 1550,secundaria,publica - sector educacion,-12.0644,-77.06369
1027 republica de nicaragua,lima,jiron ancash 1379,primaria,publica - sector educacion,-12.04557,-77.01448
1028 republica argentina,lima,jiron miroquesada 1340,primaria,publica - sector educacion,-12.05314,-77.01645
103 luis armando cabello hurtado,lima,pasaje alto de la alianza s/n,secundaria,publica - sector educacion,-12.05834,-77.01134
1032 republica del brasil,lima,jiron cangallo 731,primaria,publica - sector educacion,-12.05586,-77.02194
1035 jose del carmen marin arista,lima,avenida nicolas de pierola 1533,inicial - jardin,publica - sector educacion,-12.05579,-77.02819
1036 republica de costa rica,lima,jiron desaguadero 490,inicial - jardin,publica - sector educacion,-12.04939,-77.01234
1037 ramon espinoza,lima,jiron ancash 1254,primaria,publica - sector educacion,-12.04673,-77.01667
1038 maria parado de bellido,lima,jiron ancash 729,primaria,publica - sector educacion,-12.04723,-77.02355
1040 republica de haiti,lima,jiron azangaro 876,primaria,publica - sector educacion,-12.05374284,-77.03250581
1048 virgen purisima,lima,jiron ancash 1529 mz p-21,primaria,publica - sector educacion,-12.04416478,-77.01447203
1049 juana alarco de dammert,lima,jiron cuzco 426,primaria,publica - sector educacion,-12.05116,-77.03003
105 pedro coronado arrascue,lima,avenida alfonso ugarte 120,primaria,publica - sector educacion,-12.04086,-77.0443
106 ramon espinoza,lima,jiron ancash 1254,inicial - jardin,publica - sector educacion,-12.04673,-77.01667
107 virgen de la medalla milagrosa,lima,jiron quilca 534,inicial - cuna jardin,publica - otro sector publico,-12.051,-77.04134
111 arzobispo loayza,lima,avenida alfonso ugarte 848,inicial - cuna jardin,publica - otro sector publico,-12.04945524,-77.04479187
111 san jose de artesanos,lima,jiron ayacucho 179,secundaria,publica - sector educacion,-12.04645,-77.02476
112 pequenos de fatima,lima,jiron las azucenas 1472,inicial - jardin,publica - sector educacion,-12.06315,-77.06569
1124 jose marti,lima,avenida bauzate y meza 2299,primaria,publica - sector educacion,-12.0618,-77.007
1145 republica de venezuela,lima,jiron callao 773,inicial - jardin,publica - sector educacion,-12.04199,-77.03806
1146 republica del paraguay,lima,avenida emancipacion 731,primaria,publica - sector educacion,-12.04518,-77.03971
1147 andres rosales valencia,lima,jiron canete 614,inicial - jardin,publica - sector educacion,-12.04637,-77.04037
1148 juana infantes vera,lima,block 52 a,primaria,publica - sector educacion,-12.05351,-77.08315
1149 sagrado corazon de jesus,lima,jiron colonial 265,primaria,publica - sector educacion,-12.04643433,-77.04492142
1150 abraham zea carreon,lima,avenida morales duarez 2057,primaria,publica - sector educacion,-12.0352,-77.06873
1152-108 dos de mayo,lima,jiron general buendia 519,inicial - jardin,publica - sector educacion,-12.03669,-77.05004
1153 republica de canada,lima,avenida morales duarez 342,primaria,publica - sector educacion,-12.03806,-77.04818
1154 nuestra senora del carmen,lima,jiron elvira garcia y garcia s/n,primaria,publica - sector educacion,-12.0526,-77.06866
1156 jose sebastian barranca lovera,lima,jiron huarancayo 168,primaria,publica - sector educacion,-12.03836,-77.05367
1157 julio cesar tello rojas,lima,avenida joaquin capello 3110,secundaria,publica - sector educacion,-12.03722,-77.0801
116 san pablo,lima,avenida alfonso ugarte 227 - 229,inicial - cuna jardin,publica - sector educacion,-12.04209,-77.04295
1160 jose faustino sanchez carrion,lima,jiron republica del ecuador 605,primaria,publica - sector educacion,-12.0427,-77.0561
1161,lima,calle crespo y castillo,primaria,publica - sector educacion,-12.03672,-77.06077
1162 divino nino jesus,lima,jiron moquegua 245,primaria,publica - sector educacion,-12.049,-77.03559
1163 jose maria arguedas altamirano,lima,jiron republica del ecuador 295,primaria,publica - sector educacion,-12.0394,-77.05658
1165 holanda,lima,jiron holanda 2276,primaria,publica - sector educacion,-12.0512521,-77.06307574
1166 libertador simon bolivar,lima,jiron ramon carcamo 195,primaria,publica - sector educacion,-12.040281,-77.051309
1168 heroes del cenepa,lima,jiron huallaga 878,primaria,publica - sector educacion,-12.05144,-77.02293
117 rvdo padre pascual alegre gonzales,lima,avenida nicolas duenas 702,inicial - jardin,publica - sector educacion,-12.04407,-77.0658
117 rvdo. padre pascual alegre gonzales,lima,avenida nicolas duenas 702,primaria,publica - sector educacion,-12.04407,-77.0658
14 divina nina maria,lima,block a - 11,inicial - cuna jardin,publica - sector educacion,-12.05148,-77.07845
16 virgen de lourdes,lima,block 46-a,inicial - cuna jardin,publica - sector educacion,-12.05413,-77.08195
19 el planeta,lima,jiron diego la torre cdra 16 s/n,inicial - jardin,publica - sector educacion,-12.03782,-77.06353
20 santa rosa de lima,lima,jiron jupiter 680,inicial - cuna jardin,publica - sector educacion,-12.06664,-77.07132
21 san benito de palermo,lima,jiron las fabricas cdra 2 s/n,inicial - jardin,publica - sector educacion,-12.0413,-77.0677
25 nuestra senora de la inmaculada concepcion,lima,jiron junin 1238,secundaria,publica - sector educacion,-12.05138,-77.0173
26 nino jesus de atoche,lima,jiron antonio miroquesada 1296,inicial - jardin,publica - sector educacion,-12.05313,-77.01749
29 rosa de santa maria,lima,jiron ancash 1439,inicial - cuna jardin,publica - sector educacion,-12.04463,-77.01423
31,lima,avenida nicolas ayllon cdra 4 block g 14 s/n,inicial - jardin,publica - sector educacion,-12.0595,-77.009
48 juana alarco de dammert,lima,jiron antonio miroquezada 1327,inicial - cuna jardin,privada - parroquial,-12.05295,-77.01681
50 la sagrada familia,lima,jiron moquegua 377,inicial - jardin,publica - sector educacion,-12.04809524,-77.03697376
89 las mercedarias,lima,jiron ancash 1098,inicial - cuna jardin,publica - municipalidad,-12.04413,-77.01238
94 micaela bastidas,lima,jiron melchor de talamantes 100,inicial - cuna jardin,publica - sector educacion,-12.03661,-77.0798
albert einstein,lima,avenida tacna 293,inicial - jardin,privada - particular,-12.0445,-77.03595
amauta,lima,avenida 9 de diciembre 321,basica alternativa - avanzado,privada - particular,-12.06033,-77.03961
andres bello,lima,jiron moquegua 467,basica alternativa - avanzado,privada - particular,-12.04754,-77.03794
aprendiendo a aprender,lima,jiron carlos revolledo 1025,inicial - jardin,privada - particular,-12.04814,-77.07621
argentina,lima,avenida alfonso ugarte 1011,secundaria,publica - sector educacion,-12.0519,-77.04201
asociacion colegio maria alvarado,lima,avenida 28 de julio 249,secundaria,privada - particular,-12.06495,-77.04391
barcia bonifatti,lima,jiron perez de tudela 3055,secundaria,privada - particular,-12.03755,-77.0792
bertolt brecht,lima,avenida colonial 2798,secundaria,privada - particular,-12.04986,-77.07887
calu,lima,jiron perez de tudela 2065,primaria,privada - particular,-12.03597,-77.06875
caminito del saber,lima,calle teniente aristides del carpio munoz 1558,inicial - jardin,privada - particular,-12.05537,-77.07818
capesat,lima,avenida tacna 393,basica alternativa - avanzado,privada - particular,-12.04541,-77.03659
carlotita,lima,jiron conde de la vega baja 582 - 584,inicial - jardin,privada - particular,-12.03889,-77.05232
carmelitas,lima,calle santa paula 579,inicial - jardin,privada - particular,-12.0646,-77.0771
catolica las mercedes,lima,jiron tnte arancibia 358,primaria,privada - particular,-12.04908,-77.01389
cesar vallejo,lima,jiron crespo y castillo 2685,inicial - jardin,privada - particular,-12.0371,-77.07493
corazon de jesus,lima,jiron joaquin capello 2400,primaria,privada - particular,-12.03551,-77.07228
corazon inmaculado de maria,lima,avenida santa teodosia 333,inicial - jardin,privada - particular,-12.06341,-77.07446
dante alighieri,lima,avenida petit thouars 1090,inicial - jardin,privada - particular,-12.0753,-77.03477
david wechsler,lima,calle canete 521,basica alternativa - avanzado,privada - particular,-12.04553,-77.03952
divino creador,lima,jiron sullana 1945,primaria,privada - particular,-12.05414,-77.06002
divino jesus,lima,avenida prolongacion arica 1957,inicial - jardin,privada - particular,-12.0548,-77.06022
divino redentor,lima,avenida la alborada 1720,secundaria,privada - particular,-12.06639,-77.0675
divino salvador,lima,jiron cailloma 574,primaria,privada - particular,-12.04832386,-77.03600859
divino y sagrado corazon de jesus,lima,jiron suecia 1216,inicial - jardin,privada - particular,-12.0494,-77.06061
el castillo de la inteligencia,lima,avenida mariano cornejo 1696,inicial - jardin,privada - particular,-12.06746,-77.06944
el eden,lima,jiron tnte arancibia 106-136,primaria,privada - particular,-12.04929,-77.01643
el guadalupano,lima,calle la alborada 1105,basica alternativa - avanzado,privada - particular,-12.05892,-77.06729
elenita,lima,calle juan manuel perez de tudela 2075,inicial - jardin,privada - particular,-12.03598,-77.06889
elim,lima,jiron palca 128,secundaria,privada - particular,-12.0632,-77.0404
forever happy kids,lima,jiron dinamarca 1300,inicial - jardin,privada - particular,-12.04993,-77.06099
francisco coll,lima,calle aristides del carpio 1164,primaria,privada - particular,-12.05077,-77.07661
fray luis de leon,lima,jiron juan olaechea arnao 1381,secundaria,privada - particular,-12.05399,-77.07401
friedrich gauss,lima,jiron joaquin capello 3201,primaria,privada - particular,-12.03728235,-77.08076669
genios en accion school,lima,jiron esperanza 777,inicial - jardin,privada - particular,-12.0398,-77.05244
happy faces,lima,jiron joaquin capello 3315,inicial - jardin,privada - particular,-12.03699,-77.07925
hogar de nazareth,lima,avenida venezuela cdra 28 s/n,inicial - jardin,privada - parroquial,-12.05942,-77.0721
ingeniero jorge cabrera tapia,lima,jiron natalio sanchez 175,primaria,privada - particular,-12.07049,-77.03755
inmaculada de las nieves,lima,avenida luis braille 1437,primaria,privada - particular,-12.053,-77.06663
inmaculada virgen del transito,lima,jiron huari 660,inicial - jardin,privada - particular,-12.05132,-77.0142
innova,lima,jiron dinamarca 1324,secundaria,privada - particular,-12.04994,-77.06099
innova schools - cercado,lima,jiron pacasmayo 701,inicial - jardin,privada - particular,-12.04832,-77.0464
internacional elim,lima,calle santa francisca romana 843 -845 etapa iii,secundaria,privada - particular,-12.05692094,-77.05571053
isaac newton,lima,avenida 9 de diciembre 378,basica alternativa - avanzado,privada - particular,-12.05981,-77.0399
jesus de nazareth de lima,lima,jiron crespo y castillo 2648,secundaria,privada - particular,-12.03684,-77.07458
jesus el buen pastor,lima,jiron juan manuel perez de tudela 3338,primaria,privada - particular,-12.03796,-77.08212
jesus reparador,lima,jiron cuzco 723,inicial - jardin,privada - parroquial,-12.053,-77.02635
jesus sublime maestro,lima,jiron monsefu 636,inicial - jardin,privada - particular,-12.04255,-77.06151
john f kennedy,lima,pasaje acisclo villaran 315,basica alternativa - avanzado,privada - particular,-12.05341,-77.03875
jorge basadre,lima,jiron aristides del carpio munoz 1138,primaria,privada - particular,-12.05043,-77.07658
juan pablo vizcardo y guzman,lima,avenida nicolas duenas 555,primaria,publica - sector educacion,-12.04147456,-77.06506756
la catolica,lima,jiron ucayali 235,basica alternativa - avanzado,privada - particular,-12.04786,-77.03078
la catolica - lima,lima,avenida 09 de diciembre 444,basica alternativa - avanzado,privada - particular,-12.05995,-77.04086
la sorbona,lima,avenida 9 de diciembre 390,primaria,privada - particular,-12.05985,-77.03998
las estrellitas,lima,jiron mariano delgado de la flor 156,inicial - jardin,privada - particular,-12.03726,-77.04977
las merceditas,lima,jiron desaguadero 379,inicial - jardin,privada - particular,-12.04948,-77.01321
las semillitas de jesus,lima,calle isaias clivio 361,inicial - jardin,privada - particular,-12.04773,-77.01352
lima san carlos,lima,avenida uruguay 384-390,primaria,privada - particular,-12.05415,-77.03947
lima santa beatriz,lima,avenida paseo de la republica 690,inicial - jardin,privada - particular,-12.06482,-77.03387
los pastorcitos de belen,lima,jiron domingo astete y moscoso 1689,inicial - jardin,privada - particular,-12.05669,-77.07655
los reyes sabios,lima,jiron capitan ruy diaz 257,inicial - jardin,privada - particular,-12.03929,-77.05611
los robles,lima,jiron carlos arrieta 1249,primaria,privada - particular,-12.07668,-77.032
magic land,lima,calle enrique lopez albujar 1406,inicial - jardin,privada - particular,-12.06273,-77.06478
maria de las nieves,lima,avenida morales duarez 2753,primaria,privada - particular,-12.03568,-77.07582
maria madre,lima,avenida sta bernardita mz h lote 085,inicial - jardin,privada - particular,-12.06063,-77.07515
master school,lima,avenida arequipa 331,basica alternativa - avanzado,privada - particular,-12.06746,-77.03674
mauricio simons,lima,avenida arequipa 979 - 983,basica alternativa - avanzado,privada - particular,-12.07417,-77.03584
mayim haiem,lima,calle mariano arredondo 2851,inicial - jardin,privada - particular,-12.05401,-77.07894
medallita milagrosa,lima,pasaje isabel flores de oliva 145,inicial - jardin,privada - particular,-12.03591,-77.06489
mi buen jesus,lima,avenida enrique meiggs 1532,primaria,privada - particular,-12.03867,-77.06274
mi pequenin,lima,jiron victor criado tejada 2896,inicial - cuna jardin,privada - particular,-12.05702,-77.07505
mi pequeno jardin,lima,avenida alejandro tirado 639,inicial - jardin,privada - particular,-12.07385,-77.0321
miguel angel,lima,jiron santa aurelia 308,inicial - jardin,privada - particular,-12.06383,-77.07625
mis angelitos,lima,jiron jose felix bogado 2540,inicial - jardin,privada - particular,-12.05045,-77.07479
mis pequenos angelitos,lima,jiron angel velenzuela 605,inicial - jardin,privada - particular,-12.06283,-77.06694
mundo kids,lima,calle leonidas lasarre 495,inicial - jardin,privada - particular,-12.06,-77.0671
mundo nuevo,lima,jiron tupac amaru 412,primaria,privada - particular,-12.04015,-77.06107
my little star,lima,jiron abelardo gamarra 1477,inicial - jardin,privada - particular,-12.05495,-77.07378
nicolas copernico,lima,avenida paseo colon 434,basica alternativa - avanzado,privada - particular,-12.05993754,-77.04075
nicolas copernico - arequipa,lima,avenida arequipa 1215,basica alternativa - avanzado,privada - particular,-12.07694,-77.03546
nino jesus de praga,lima,jiron conchucos 278,inicial - jardin,privada - parroquial,-12.04609,-77.01147
nuestra senora de cocharcas,lima,jiron huanuco 942,primaria,privada - parroquial,-12.05531,-77.01851
