precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,num_colegios_prox,num_hospitales_prox,total_ambientes,tiene_estac,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,total_servicios_prox
10758.0,1006.0,240.0,4.0,4.0,2.0,7.0,40.0,3,0,8.0,1,3.0,2.0,1.0,3
1700.0,,31.0,1.0,1.0,,5.0,75.0,10,3,2.0,0,1.0,1.0,2.0,13
3200.0,320.0,65.0,1.0,1.0,,6.0,,12,0,2.0,0,2.0,2.0,1.0,13
3100.0,270.0,80.0,2.0,2.0,1.0,8.0,49.0,8,2,4.0,1,2.0,2.0,1.0,10
2100.0,280.0,40.0,1.0,1.0,,4.0,,12,2,2.0,0,1.0,1.0,3.0,16
1100.0,,50.0,1.0,1.0,,1.0,391.0,5,5,2.0,0,1.0,1.0,1.0,10
2100.0,150.0,40.0,1.0,1.0,,7.0,85.0,3,0,2.0,0,1.0,2.0,1.0,4
1200.0,,50.0,2.0,1.0,,1.0,,14,5,3.0,0,1.0,1.0,2.0,19
1500.0,,60.0,2.0,1.0,,1.0,216.0,13,6,3.0,0,2.0,1.0,2.0,19
3496.0,215.0,44.0,2.0,1.0,1.0,0.0,,12,0,3.0,1,1.0,1.0,1.0,13
5124.0,480.0,148.0,3.0,2.0,1.0,12.0,38.0,8,2,5.0,1,3.0,2.0,1.0,11
1900.0,200.0,45.0,1.0,1.0,,0.0,37.0,23,4,2.0,0,1.0,1.0,2.0,27
900.0,,30.0,1.0,1.0,,1.0,269.0,15,0,2.0,0,1.0,1.0,3.0,15
1350.0,,30.0,1.0,1.0,,1.0,218.0,5,2,2.0,0,1.0,1.0,1.0,7
1750.0,1.0,60.0,1.0,1.0,,14.0,29.0,3,0,2.0,0,2.0,2.0,1.0,3
1250.0,,50.0,1.0,1.0,,1.0,190.0,4,1,2.0,0,1.0,1.0,1.0,5
1700.0,,1.0,3.0,3.0,,1.0,200.0,16,3,6.0,0,1.0,1.0,2.0,19
