,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
7437,la familia universal,rimac,avenida restauracion 137,primaria,privada - particular,-12.02665,-77.02723
7438,las golondrinas,rimac,mz q lote 4 sector 1,inicial - jardin,privada - particular,-12.00476,-77.03409
7439,leamas school,rimac,avenida tarapaca 398,primaria,privada - particular,-12.03102,-77.03639
7440,libertad americana,rimac,mz c,inicial - jardin,privada - particular,-12.0284,-77.0327
7442,los siervos de jesus,rimac,jiron alejandro ayarza 198,secundaria,privada - particular,-12.0196,-77.0293
7444,lucie rynning de antunez de mayolo,rimac,jiron atahualpa 177,secundaria,publica - sector educacion,-12.0356,-77.0264
7445,mercedes cabello de carbonera,rimac,avenida tupac amaru 150-220,secundaria,publica - sector educacion,-12.0262,-77.0464
7447,milagritos,rimac,jiron oidores 110,inicial - jardin,privada - particular,-12.02778,-77.02839
7448,mis primeras huellitas,rimac,mz p1 lote 1,inicial - jardin,privada - particular,-12.03468,-77.03023
7449,nacional rimac,rimac,avenida sancho davila,primaria,publica - sector educacion,-12.01898002,-77.03551998
7451,ninito rey,rimac,avenida tarapaca 398,inicial - jardin,privada - particular,-12.03109,-77.03639
7454,nino rey de piedra liza,rimac,pasaje bolognesi tercer pasaje 201,inicial - jardin,privada - particular,-12.03916,-77.01721
7455,nino rey de piedra liza i,rimac,pasaje bolognesi tercer pasaje 201,primaria,privada - particular,-12.03916,-77.01721
7456,nuestra senora de chapi,rimac,jiron paita 429,primaria,privada - particular,-12.03929,-77.03023
7461,nuestra senora de la caridad,rimac,avenida proceres 399,primaria,privada - particular,-12.03556,-77.03864
7463,nuestra senora de la consolacion,rimac,calle la colonia 263,inicial - jardin,privada - parroquial,-12.02678333,-77.03153333
7466,nuestra senora de las mercedes del bosque,rimac,jiron francisco monserrate 128-132,primaria,privada - particular,-12.02053,-77.03187
7469,nuestra senora de las mercedes del rimac,rimac,calle 19 385,primaria,privada - particular,-12.02364,-77.03492
7474,nuestra senora del patrocinio,rimac,calle los descalzos 124,primaria,privada - parroquial,-12.0364,-77.02473333
7479,nuestra senora del rosario del rimac,rimac,jiron monitor huascar 350,primaria,privada - particular,-12.02619,-77.03658
7481,pablo peregrino,rimac,calle las calezas 317,inicial - jardin,privada - particular,-12.02706,-77.02986
7482,pastorcitos de belen,rimac,jiron general vidal 225,secundaria,privada - particular,-12.03484,-77.03957
7485,peter pan,rimac,avenida alcazar 818,inicial - jardin,privada - particular,-12.02704,-77.03306
7486,posada de belen,rimac,avenida alcazar 1186,primaria,privada - particular,-12.01986,-77.03038
7488,rayitos de ilusion,rimac,avenida restauracion 369-371,inicial - jardin,privada - particular,-12.02415,-77.02996
7489,reino del saber school,rimac,parque infantil 396,inicial - jardin,privada - particular,-12.02641,-77.03309
