,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
2706,mi casita de colores,chorrillos,avenida miramar mz 4 lote 5,inicial - jardin,privada - particular,-12.18524,-77.01201
2707,mi lucero,chorrillos,jiron enrique palacios 437,inicial - jardin,privada - particular,-12.16905,-77.03014
2709,mi pequena estrellita,chorrillos,avenida alameda de los cedros mz d-9 lote 28,inicial - cuna jardin,privada - particular,-12.20409,-77.01421
2711,mi peru,chorrillos,calle manuel zelaya 112,inicial - jardin,privada - particular,-12.16939,-77.02216
2715,mi segunda casita,chorrillos,jiron universo 114 mz t-1 lote 2,inicial - cuna jardin,privada - particular,-12.16861,-76.99776
2718,mis angelitos i,chorrillos,"mz c1-c4, b2",inicial - jardin,publica - sector educacion,-12.20174,-77.03162
2719,monte carmelo,chorrillos,mz a1 lote 9,primaria,privada - particular,-12.19554,-77.02195
2721,montessori,chorrillos,mz p lote 1,inicial - jardin,privada - particular,-12.19723,-77.02077
2722,musical jose marti,chorrillos,calle los pumas 802,inicial - jardin,privada - particular,-12.17302,-77.00683
2724,my little angels,chorrillos,calle teniente carlos jimenez 186,inicial - jardin,privada - particular,-12.17504,-76.99843
2725,my little castle,chorrillos,calle coronel cano 186,inicial - cuna jardin,privada - particular,-12.17132,-77.02018
2726,my sweet home,chorrillos,calle san cristobal mz c12 lote 15,inicial - cuna jardin,privada - particular,-12.2085,-77.0175
2727,nazareth,chorrillos,avenida carlos alcorta 251,inicial - cuna jardin,privada - instituciones beneficas,-12.16639,-77.02148
2728,nino jesus de belen,chorrillos,avenida justo pastor davila 167,secundaria,privada - particular,-12.17047,-77.02178
2733,nino jesus de villa marina,chorrillos,calle san luis 207 mz h-1 lote 11-a,primaria,privada - particular,-12.19178,-77.00863
2736,nuestra senora virgen de lourdes,chorrillos,jiron cabo blanco mz a7 lote 23,basica alternativa - avanzado,privada - particular,-12.20419,-77.01006
2740,nuevo amanecer,chorrillos,jiron bogota 435,primaria,privada - particular,-12.17507,-77.0225
2742,palas atenea,chorrillos,calle palas atenea 124,primaria,privada - particular,-12.16998,-76.99534
2745,pamer chorrillos,chorrillos,"avenida alameda los horizontes 730-732 mz b-4 lote 2,3",primaria,privada - particular,-12.20402,-77.00818
2750,pitagoras,chorrillos,avenida ballestas 258,inicial - jardin,privada - particular,-12.20749,-77.0158
2751,play house,chorrillos,avenida alameda los cedros mz a-9 lote 25-26-27,primaria,privada - particular,-12.20495,-77.0131
2753,primero de mayo 2,chorrillos,calle juan velasco alvarado mz d lote 5,inicial - jardin,publica - sector educacion,-12.19385,-77.01598
2754,primeros pasos,chorrillos,avenida prolongacion paseo de la republica s/n,inicial - cuna jardin,publica - otro sector publico,-12.17588,-77.01213
2755,principe de asturias,chorrillos,avenida las viudas mz a lote 13,inicial - cuna jardin,privada - particular,-12.1964,-76.98491
2757,prolog de chorrillos,chorrillos,avenida alameda sur 1251,primaria,privada - particular,-12.20551,-77.0171
2759,prolog. de cedros de villa,chorrillos,avenida alameda del sur mz h-06 lote 26,secundaria,privada - particular,-12.20077,-77.01363
2760,rainbow,chorrillos,calle santo tomas mz 06 lote 26,inicial - jardin,privada - particular,-12.20226,-77.01417
2761,rayitos de ternura,chorrillos,avenida ariosto matellini 319,inicial - jardin,privada - particular,-12.17731,-77.00808
2762,regina coeli,chorrillos,calle los orfebres 279,inicial - jardin,privada - particular,-12.17568,-77.00469
2765,rey de reyes,chorrillos,avenida andres avelino caceres mz 43a lote 8,inicial - jardin,privada - particular,-12.18872,-76.99903
2768,rey salomon de chorrillos,chorrillos,avenida marquez de corpac mz t lote 13-14,inicial - jardin,privada - particular,-12.20231,-77.0192
2772,sagrado corazon,chorrillos,calle 4 mz f lote 9,inicial - jardin,privada - particular,-12.19251,-77.01813
2774,saint patrick's children,chorrillos,calle santa aida mz c lote 7,inicial - jardin,privada - particular,-12.17846,-77.01406
2777,san agustin,chorrillos,avenida santa anita mz c1 lote 2,inicial - jardin,privada - particular,-12.18908,-77.01401
2782,san alfonso de chorrillos,chorrillos,avenida jamaica 192-194,inicial - cuna jardin,privada - particular,-12.17486,-77.02151
2784,san alfonso maria,chorrillos,calle barataria mz a3 lote 30,secundaria,privada - particular,-12.19916,-77.00945
2787,san daniel,chorrillos,mz g lote 35,inicial - jardin,privada - particular,-12.20473,-77.01998
2789,san francisco,chorrillos,avenida escuela militar,inicial - cuna jardin,privada - parroquial,-12.16648,-77.01969
2790,san genaro,chorrillos,calle 20 mz j-2 lote 5,secundaria,privada - particular,-12.1959,-77.02439
2791,san genaro de villa,chorrillos,mz r2 lote 21,inicial - jardin,privada - particular,-12.19586,-77.02508
2796,san jose de los cedros,chorrillos,jiron las tres marias mz f2 lote 34,primaria,privada - particular,-12.20016,-77.0096
2798,san jose mi guia,chorrillos,avenida abraham ballenas 146,inicial - jardin,privada - particular,-12.1654,-77.02063
2800,san lucas,chorrillos,avenida las gaviotas 975,inicial - jardin,privada - particular,-12.1687,-76.99915
2805,san pedro de chorrillos,chorrillos,calle los estudiantes s/n,secundaria,publica - sector educacion,-12.17363,-77.0056
2809,santa catalina de siena,chorrillos,avenida san martin mz 18 lote 18,inicial - jardin,privada - particular,-12.18669,-77.00127
2811,santa cecilia,chorrillos,avenida ricardo treneman 222,primaria,privada - particular,-12.173,-77.02225
2813,santa maria de los cedros,chorrillos,avenida alameda sur 1027,inicial - jardin,privada - particular,-12.20162,-77.0143
2814,santa maria de los sagrados corazones,chorrillos,calle san aurelio mz v1 lote 16,secundaria,privada - particular,-12.19378,-77.01162
2815,santa maria de matellini,chorrillos,jiron trovadores mz i-2 lote 34-35,secundaria,privada - particular,-12.17196,-77.00853
2818,santa rita de casia de chorrillos,chorrillos,calle los gorriones s/n mz i lote 05,inicial - jardin,privada - particular,-12.17554,-77.00361
2822,santa teresita de avila,chorrillos,calle 1 mz e lote 026,inicial - jardin,privada - particular,-12.18311428,-77.00570363
2823,santa ursula,chorrillos,pasaje peru s/n mz 39 lote 21,inicial - jardin,privada - particular,-12.18585,-76.99761
2825,santa ursula de chorrillos,chorrillos,calle nueva york 475,inicial - jardin,privada - particular,-12.17348,-77.02323
2826,santa ursula de villa,chorrillos,calle 8 de diciembre mz h lote 6,inicial - jardin,privada - particular,-12.19074,-77.00426
2828,santa ursula de villa ii,chorrillos,jiron volcan misti mz b-9 lote 2,inicial - jardin,privada - particular,-12.20059,-76.99013
2830,santisima virgen de lourdes,chorrillos,jiron los pleyades s/n mz t2 lote 7b,inicial - jardin,privada - particular,-12.17033,-76.99792
2831,santisimo nombre de jesus de villa,chorrillos,avenida marquez de la bula 995 mz 01 lote 04,secundaria,privada - particular,-12.20219,-77.00333
2834,santo domingo,chorrillos,calle 15 mz e7 lote 1,secundaria,privada - particular,-12.205,-77.01139
2837,sarita colonia,chorrillos,jiron julio vega solis 276,inicial - jardin,privada - particular,-12.17378,-77.01746
2838,savior king,chorrillos,avenida guardia peruana mz a1 lote 06,inicial - jardin,privada - particular,-12.17505,-77.0084
2840,semillitas de buenos aires de villa,chorrillos,avenida garcilazo de la vega mz 56 lote 3,inicial - jardin,privada - particular,-12.18662,-76.99692
2841,senor de la divina misericordia,chorrillos,avenida el sol s/n mz y lote 12 zona 5ta,inicial - jardin,privada - particular,-12.17521,-76.99971
2847,sor lucia de los sagrados corazones,chorrillos,calle santo tomas mz m1 lote 25,inicial - jardin,privada - particular,-12.19157,-77.0135
2849,st. george's college ii,chorrillos,avenida hernando de lavalle y alameda don augusto mz d-1 lote 15,primaria,privada - particular,-12.20957,-77.00218
2851,stella maris de lima,chorrillos,avenida defensores del morro 907,basica alternativa - avanzado,privada - particular,-12.17211,-77.0211
2852,talentus villa,chorrillos,jiron san rodolfo mz r-01 lote 01,primaria,privada - particular,-12.19046,-77.01128
2854,timo y pascu,chorrillos,avenida caminos del inca 454,primaria,privada - particular,-12.19617,-77.00067
2856,tnte. crnl. pedro ruiz gallo,chorrillos,avenida escuela militar s/n,basica alternativa - avanzado,publica - otro sector publico,-12.1606,-77.0195
2857,trilce chorrillos,chorrillos,avenida alameda marquez de la bula s/n mz i-1 lote 5b,secundaria,privada - particular,-12.20468,-77.00758
2858,trilce chorrillos ii,chorrillos,avenida los horizontes mz i-1 lote 1,primaria,privada - particular,-12.20469,-77.00851
2860,tupac amaru ii,chorrillos,avenida santa rosa s/n,secundaria,publica - sector educacion,-12.19324,-76.98449
2861,union villa marina,chorrillos,calle santo tomas s/n mz m-1 lote 23a,inicial - jardin,privada - particular,-12.19113,-77.01407
2864,villa alarife,chorrillos,jiron alameda don augusto mz d lote 5 y 4,primaria,privada - particular,-12.20821,-77.00462
2867,villa san luis school,chorrillos,avenida vista alegre mz u lote 12,primaria,privada - particular,-12.19740128,-76.97656931
2868,virgen del morro solar,chorrillos,calle ariosto matellini s/n,inicial - jardin,publica - sector educacion,-12.18604,-77.0179
2871,virgen maria madre de los ninos,chorrillos,calle san felipe / san rodolfo mz z lote 6,inicial - cuna jardin,publica - sector educacion,-12.19044,-77.01063
2872,wonderland kids,chorrillos,calle puerto salaverry mz e lote 37 etapa iii,inicial - jardin,privada - particular,-12.19881,-77.00733
2874,570 integracion,chorrillos,mz g lote 5,inicial - jardin,publica - sector educacion,-12.19227,-77.01753
2875,madre teresa,chorrillos,calle las palmeras mz d lote 15,inicial - jardin,publica - sector educacion,-12.17359,-77.01571
2876,le d'alembert,chorrillos,jiron los meteoros 235,secundaria,privada - particular,-12.18127,-76.9964
2879,saco oliveros de santa isabel,chorrillos,calle palas atenea y pasaje huanuco mz s lote 23,secundaria,privada - particular,-12.17109,-76.99497
2882,virgen maria de fatima,chorrillos,jiron murillo 222,inicial - jardin,privada - particular,-12.18151,-76.99556
2884,jesus maestro,chorrillos,jiron carhuarazo mz g lote 3,inicial - jardin,privada - parroquial,-12.1985,-76.99266
2885,master school chorrillos,chorrillos,"jiron nevado de carhuarazo mz e9 lote 4,5,y 6",inicial - jardin,privada - particular,-12.19643,-76.99082
2886,prolog de delicias,chorrillos,avenida cordillera vilcanota s/n mz f-14 lote 10,primaria,privada - particular,-12.19806433,-76.98632956
2888,divino maestro los cedros,chorrillos,jiron tortugas s/n mz c-9 lote 1-4,inicial - jardin,privada - particular,-12.20618,-77.01379
2890,pueblito verde,chorrillos,jiron tres marias mz e-5 lote 22,inicial - jardin,privada - particular,-12.20125,-77.01055
2891,santisima maria,chorrillos,"jiron los kipus s/n mz g lote 1-6, 32-38",primaria,privada - particular,-12.19957,-77.00713
2894,entre suenos y ensuenos,chorrillos,avenida prolongacion paseo de la republica mz a lote 19,inicial - jardin,privada - particular,-12.17695,-77.01204
2896,semillitas del futuro,chorrillos,avenida los ficus mz p lote 26,primaria,privada - particular,-12.18766,-76.99101
2898,king's college,chorrillos,avenida san martin mz b-3 lote 18,inicial - jardin,privada - particular,-12.19347,-76.98536
2899,1246,cieneguilla,avenida los libertadores -la libertad,primaria,publica - sector educacion,-12.13578,-76.8231
2900,1261 guillermo wagner,cieneguilla,avenida canaan y belen s/n,primaria,publica - sector educacion,-12.10074,-76.80429
2901,139 san martin de porres,cieneguilla,avenida pachacutec s/n,inicial - jardin,publica - sector educacion,-12.11292492,-76.81673087
2902,155,cieneguilla,avenida canaan s/n mz r lote 5,inicial - jardin,publica - sector educacion,-12.10039,-76.80448
2903,157 sami wasi,cieneguilla,calle los laureles mz h lote 1,inicial - jardin,publica - sector educacion,-12.08158,-76.76744
2904,169 la libertad,cieneguilla,avenida los libertadores s/n,inicial - jardin,publica - sector educacion,-12.13573,-76.82293
2905,219 cesar augusto mendoza falcon,cieneguilla,avenida san martin s/n,inicial - jardin,publica - sector educacion,-12.10634,-76.82891
2906,6018 inmaculada concepcion - huarangal,cieneguilla,calle huarangal s/n etapa ii,primaria,publica - sector educacion,-12.10628,-76.80797
2908,6088,cieneguilla,avenida san martin s/n mz c,secundaria,publica - sector educacion,-12.11078,-76.82015
2910,amiguito,cieneguilla,avenida mayta capac s/n mz a lote 1 zona b,primaria,privada - particular,-12.11145,-76.81828
2912,angelitos de maria,cieneguilla,avenida los industriales s/n,inicial - jardin,publica - sector educacion,-12.08603,-76.87017
2913,blaise pascal,cieneguilla,mz c lote 5,inicial - jardin,privada - particular,-12.10672,-76.82945
2916,brazos abiertos,cieneguilla,calle las margaritas mz d lote 5,inicial - jardin,privada - particular,-12.08681,-76.86019
2917,cristiano de cieneguilla,cieneguilla,avenida inca roca mz f lote 5b zona a,primaria,privada - particular,-12.1091,-76.81667
2919,helma wesfalia schule,cieneguilla,carretera lima - huarochiri km.27.5,inicial - jardin,privada - particular,-12.07422,-76.76453
2921,jesus de cieneguilla,cieneguilla,avenida san martin mz h lote 2-a zona f,secundaria,privada - particular,-12.10924,-76.82501
2924,jesus sacramentado,cieneguilla,avenida nueva toledo s/n lote 103,primaria,publica - en convenio,-12.11602,-76.81434
2926,los emprendedores de cieneguilla,cieneguilla,avenida los industriales mz b lote 25-26,inicial - jardin,privada - particular,-12.08636,-76.87017
2927,los emprendores de cieneguiilla,cieneguilla,avenida los industriales mz b lote 25-26,primaria,privada - particular,-12.08636,-76.87017
2928,martin adan,cieneguilla,avenida san martin zona d mz d lote 25 a,secundaria,privada - particular,-12.11085862,-76.81837527
2931,mis primeros pasos,cieneguilla,avenida simon bolivar mz d lote 12,inicial - jardin,privada - particular,-12.11210998,-76.82515717
2933,new albert einstein school,cieneguilla,avenida mayta capac mz a lote 03,basica alternativa - avanzado,privada - particular,-12.10946,-76.81823
2937,nueva gales,cieneguilla,avenida nueva gales mz f lote 2,primaria,publica - sector educacion,-12.0789,-76.8744
2939,pampas tinajas,cieneguilla,lote 1,inicial - jardin,publica - sector educacion,-12.13986,-76.81015
2940,pasitos de jesus,cieneguilla,avenida bolivar mz ff lote 33,inicial - jardin,privada - particular,-12.11176,-76.82179
2942,san francisco de los angeles,cieneguilla,"mz n lote 3,4 y 5 zona a",inicial - jardin,privada - particular,-12.11210704,-76.81681365
2943,victor raul haya de la torre,cieneguilla,carretera lima- huarorichiri km 26.5,secundaria,publica - sector educacion,-12.08406,-76.7704
2944,virgen del carmen,cieneguilla,avenida san martin s/n mz f lote 21 zona d,secundaria,privada - particular,-12.1112,-76.82153
2946,waldorf de cieneguilla,cieneguilla,"calle el molle mz 2 lote 2,3 y 11 sector iii",inicial - jardin,privada - particular,-12.09648791,-76.77609123
2949,6054 qhapaq nan,cieneguilla,parque plaza principal huaycan,primaria,publica - sector educacion,-12.08269,-76.76642
2950,kinder garden virgen del carmen,cieneguilla,calle los escorpiones mz l lote 2,inicial - jardin,privada - particular,-12.10574,-76.832
2951,albert schwietzer,cieneguilla,calle san jose mz f,inicial - jardin,privada - particular,-12.10963855,-76.81698145
2954,caminitos del saber,cieneguilla,avenida capac yupanqui zona a mz g lote 5,inicial - jardin,privada - particular,-12.11019,-76.81749
2957,mi pequena semillita,cieneguilla,avenida yahuar huaca s/n mz k lote 07 zona b,primaria,privada - particular,-12.11442,-76.81703
2960,cantor college,comas,avenida metropolitana 537,inicial - jardin,privada - particular,-11.96568,-77.06135
2963,estados unidos,comas,avenida el maestro peruano s/n,secundaria,publica - sector educacion,-11.96519067,-77.0567598
2966,luis braille,comas,avenida el maestro peruano 340-380,basica alternativa - avanzado,publica - sector educacion,-11.96486954,-77.0576981
2970,peruano suizo,comas,calle 13 a s/n,secundaria,publica - sector educacion,-11.96703,-77.06011
2971,senor de los milagros iii,comas,pasaje carmen alto,inicial - jardin,publica - sector educacion,-11.94528,-77.02753
2972,innova schools - comas condorcanqui,comas,calle izaga s/n lote 159,inicial - jardin,privada - particular,-11.90593,-77.04904
2975,maria medalla milagrosa,comas,"calle las compuertas sub lotes 147 a-4, a-5, a-3b s/n",primaria,privada - particular,-11.906926,-77.051732
2977,john fitzgerald kennedy,comas,avenida santo toribio de mogrovejo 421 mz t lote 3 sector collique zona 3ra pueblo joven,secundaria,privada - particular,-11.91891,-77.02544
2978,01,comas,jiron montero rosas s/n,inicial - jardin,publica - sector educacion,-11.92054,-77.03962
2979,02 jose galvito,comas,jiron micaela bastidas s/n mz s3,inicial - jardin,publica - sector educacion,-11.91103807,-77.01288328
2980,03,comas,avenida 1 de mayo s/n,inicial - cuna jardin,publica - sector educacion,-11.9662,-77.05441
2981,054,comas,jiron 2 de mayo cuadra 4,inicial - jardin,publica - sector educacion,-11.95953457,-77.04418995
2982,12,comas,jiron blasco nunez de vela s/n mz 30 lote 1,inicial - cuna jardin,publica - sector educacion,-11.9381,-77.04256
2983,2005,comas,avenida el retablo cdra 9 s/n,primaria,publica - sector educacion,-11.93058,-77.05648
2984,2007 san martin de porres,comas,avenida revolucion 1500 zona iii,primaria,publica - sector educacion,-11.9142,-77.02794
2985,2020 maestro jose antonio encinas,comas,prolongacion la mar s/n,primaria,publica - sector educacion,-11.93864,-77.05562
2986,2022 sinchi roca,comas,jiron cahuide s/n,primaria,publica - sector educacion,-11.93045,-77.04964
2989,2026 simon bolivar,comas,pasaje elias aguirre s/n mz n-2 etapa ii,secundaria,publica - sector educacion,-11.95063,-77.06313
2991,2030,comas,jiron 1 de mayo 502,primaria,publica - sector educacion,-11.96497,-77.05411
2992,2031 jose valverde caro,comas,avenida 3 de octubre iv sector 1950,primaria,publica - sector educacion,-11.94512,-77.03126
2994,2033 nuestra senora de fatima,comas,pasaje cervantes s/n,primaria,publica - sector educacion,-11.95544,-77.05324
2995,2035 fernando belaunde terry,comas,jiron huayna capac s/n,primaria,publica - sector educacion,-11.94199,-77.03513
2996,2038 inca garcilaso de la vega,comas,jiron santa cruz 222,primaria,publica - sector educacion,-11.91790833,-77.02902833
2998,2040 republica de cuba,comas,avenida tupac amaru s/n,secundaria,publica - sector educacion,-11.90837,-77.03328
3001,2042 fray martin de porres,comas,avenida san martin 1262,primaria,publica - sector educacion,-11.96187,-77.04706
3002,2043 sangarara,comas,jiron union 551,primaria,publica - sector educacion,-11.91968,-77.0442
3003,2045,comas,jiron atahualpa s/n,primaria,publica - sector educacion,-11.96637,-77.05368
3004,2046 virgen de las mercedes,comas,jiron la merced mz e lote 1 y 5 101,primaria,publica - sector educacion,-11.97198,-77.05695
3006,2047,comas,avenida puno cdra 20 s/n,primaria,publica - sector educacion,-11.95767,-77.04014
3007,2048 jose carlos mariategui,comas,jiron eduardo correa s/n,primaria,publica - sector educacion,-11.93992564,-77.06336133
3010,2049,comas,avenida san felipe cuadra 2 s/n,primaria,publica - sector educacion,-11.90677,-77.03552
3011,2055 primero de abril,comas,avenida san juan bautista s/n mz r lote 7,primaria,publica - sector educacion,-11.91554,-77.04418
3013,2059 suecia,comas,avenida miguel grau cuadra 3 s/n,primaria,publica - sector educacion,-11.92514,-77.03878
3015,2060,comas,jiron micaela bastidas iv zona s/n,primaria,publica - sector educacion,-11.91124,-77.01776
3016,2072 lev semionovich vigotski,comas,avenida los geranios s/n mz g lote 10,primaria,publica - sector educacion,-11.90473,-77.05477
3017,2075 cristo hijo de dios,comas,avenida milagro de jesus s/n,primaria,publica - sector educacion,-11.92201,-77.02409
3020,2077 san martin de porres de ano nuevo,comas,jiron german lapeyre s/n,primaria,publica - sector educacion,-11.92842,-77.04119
3021,2085 san agustin,comas,jiron pumacahua cdra 3 s/n,secundaria,publica - sector educacion,-11.9323,-77.05056
3023,2097,comas,pasaje san miguel 128,primaria,publica - sector educacion,-11.90724,-77.03831
3024,2100 juan velasco alvarado,comas,jiron bogota cdra 4 s/n,primaria,publica - sector educacion,-11.95464,-77.05504
3025,3047 republica de canada,comas,jiron la habana s/n,secundaria,publica - sector educacion,-11.95916,-77.04107
3027,3055 tupac amaru,comas,avenida jose pardo 100,primaria,publica - sector educacion,-11.93503,-77.04317
3030,3059 republica de israel,comas,tupac amaru,primaria,publica - sector educacion,-11.9523,-77.0508
3032,3060 alfonso ugarte vernal,comas,jiron leon pinelo s/n,primaria,publica - sector educacion,-11.93905,-77.05315
3033,3061 jorge chavez dartnell,comas,jiron 21 de setiembre s/n,primaria,publica - sector educacion,-11.95925,-77.0521
3035,3062 santa rosa,comas,calle real 161,primaria,publica - sector educacion,-11.94918,-77.0486
3037,3064,comas,jiron junin s/n,primaria,publica - sector educacion,-11.94199,-77.04259
3038,3065 virgen del carmen,comas,jiron 28 de julio cdra 6 s/n,primaria,publica - sector educacion,-11.93866,-77.04106
3041,3066 senor de los milagros,comas,jiron manuel candamo 101,inicial - jardin,publica - sector educacion,-11.94171,-77.04826
3044,3068 san judas tadeo,comas,avenida ricardo palma 550,primaria,publica - sector educacion,-11.95762,-77.05009
3046,3072 augusto salazar bondy,comas,jiron cusihuaman s/n mz l-4 lote 10,primaria,publica - sector educacion,-11.94652,-77.06183
3047,3076 santa rosa,comas,avenida 28 de julio s/n,primaria,publica - sector educacion,-11.91084,-77.00576
3050,3077 el alamo,comas,mz b-10 lote 1,primaria,publica - sector educacion,-11.93319,-77.06758
3051,3082 senor de los milagros,comas,calle 7 s/n,primaria,publica - sector educacion,-11.96535426,-77.05916841
3052,3083 las nustas,comas,calle 14 mz m lote 1 etapa i,primaria,publica - sector educacion,-11.91695,-77.05761
3053,3085 pedro vilca apaza,comas,jiron jose maria pagador s/n,primaria,publica - sector educacion,-11.95164,-77.05717
3054,3096 franz tamayo solares,comas,calle 7 mz e-1 s/n,secundaria,publica - sector educacion,-11.92383,-77.05296
3056,3097 la nacion de san judas tadeo,comas,mz q lote 6 zona e,primaria,publica - sector educacion,-11.8995,-77.0445
3057,311,comas,jiron teodoro garrido 280,inicial - jardin,publica - sector educacion,-11.92867,-77.04086
3058,316 san felipe,comas,avenida universitaria s/n,inicial - jardin,publica - sector educacion,-11.90046,-77.04003
3059,317,comas,jiron tungasuca cdra 3 s/n,inicial - jardin,publica - sector educacion,-11.92047,-77.04411
3060,322 virgen maria,comas,avenida revolucion iv zona 2248,inicial - jardin,publica - sector educacion,-11.91325,-77.02019
3061,326 maria montessori,comas,jiron bogota s/n,inicial - jardin,publica - sector educacion,-11.95697,-77.05621
3062,328,comas,avenida san luis s/n,inicial - jardin,publica - sector educacion,-11.90765,-77.03788
3063,334,comas,jiron sanchez carrion s/n mz v lote 37,inicial - jardin,publica - sector educacion,-11.94098,-77.06309
3064,337 sangarara,comas,jiron arica zona e 4ta cdra s/n,inicial - cuna jardin,publica - sector educacion,-11.92474,-77.04515
3065,341 el retablo,comas,prolongacion pezet s/n mz o lote 11,inicial - jardin,publica - sector educacion,-11.93803,-77.05577
3066,353 - corazon de maria,comas,avenida heroes alto cenepa s/n mz g lote 9,inicial - jardin,publica - sector educacion,-11.90501,-77.05503
3067,354 nuestra senora de fatima,comas,pasaje 115 s/n mz s lote 1,inicial - jardin,publica - sector educacion,-11.92742,-77.056
3068,356 angelitos del alamo,comas,calle 38 mz g-1,inicial - jardin,publica - sector educacion,-11.93107,-77.06794
3069,363 san francisco de asis,comas,calle busano s/n mz s2 lote 24,inicial - jardin,publica - sector educacion,-11.95026,-77.06124
3070,369,comas,jiron riva aguero s/n,inicial - jardin,publica - sector educacion,-11.93322,-77.05404
3071,370 virgen de la puerta,comas,parque tahuantinsuyo s/n,inicial - jardin,publica - sector educacion,-11.95692,-77.03582
3072,371,comas,jiron francisco olazabal s/n mz ll lote 24,inicial - jardin,publica - sector educacion,-11.94334,-77.05569
3073,373,comas,jiron pagador s/n mz l3 lote 19,inicial - jardin,publica - sector educacion,-11.95157,-77.0574
3074,376,comas,calle 2 pasaje 3 s/n sector a,inicial - jardin,publica - sector educacion,-11.90166,-77.04322
3075,8156 peruano aleman,comas,calle los jasminez s/n mz v lote 20,primaria,publica - sector educacion,-11.90871,-77.04278
3076,8157 republica de francia,comas,calle las magnolias s/n mz d-1,primaria,publica - sector educacion,-11.91219,-77.04131
3077,8158 isabel flores de oliva,comas,calle taras mz k2,primaria,publica - sector educacion,-11.91616,-77.050005
3078,8160 los chasquis,comas,calle 21 los chasquis s/n,primaria,publica - sector educacion,-11.93434,-77.06114
3080,8162,comas,calle topacios s/n mz m lote i-19,primaria,publica - sector educacion,-11.96378,-77.06124
3081,8170 cesar vallejo,comas,avenida jose carlos mariategui s/n,primaria,publica - sector educacion,-11.93162,-77.03668
3084,8173 santa isolina,comas,parque 1 calle rio perene 2 cdra s/n,primaria,publica - sector educacion,-11.95911,-77.06226
3085,8176 nueva esperanza,comas,avenida cesar vallejo s/n mz m lote 8 zona ii,primaria,publica - sector educacion,-11.92251,-77.02168
3086,8181 heroes del alto cenepa,comas,avenida collique s/n mz e lote 1,primaria,publica - sector educacion,-11.92344,-77.06047
3088,8186 maria jesus espinoza matos,comas,calle 5 s/n mz m lote 1,primaria,publica - sector educacion,-11.89907,-77.04858
3091,861,comas,calle 22 110,inicial - jardin,publica - sector educacion,-11.96976,-77.05781
3092,862,comas,jiron daniel aliaga s/n mz d2 lote 7,inicial - jardin,publica - sector educacion,-11.94671474,-77.06437605
3093,863,comas,jiron santa rosa s/n,inicial - cuna jardin,publica - sector educacion,-11.93649,-77.03754
3094,868,comas,avenida frutales y gramaldes s/n mz j lote 13,inicial - jardin,publica - sector educacion,-11.9098,-77.04598
3095,885,comas,jiron san pedro y pasaje salaverry s/n,inicial - jardin,publica - sector educacion,-11.9127086,-77.00720101
3096,886 sagrado corazon de jesus del pinar,comas,calle 64 s/n mz f,inicial - jardin,publica - sector educacion,-11.91042,-77.05202
3097,887,comas,avenida jose santos chocano s/n zona iii,inicial - jardin,publica - sector educacion,-11.92295812,-77.02156096
3098,888 senor de los milagros,comas,avenida sanchez cerro s/n,inicial - cuna jardin,publica - sector educacion,-11.91563,-77.03456
3099,891 los geranios,comas,mz j-g s/n mz j-g,inicial - jardin,publica - sector educacion,-11.89611,-77.0422
3100,895,comas,jiron san gerbacio s/n mz r lote 17,inicial - jardin,publica - sector educacion,-11.91513,-77.04387
3102,alfa comas,comas,jiron manuel hurtado de mendoza 257 mz m-1 lote 36,primaria,privada - particular,-11.94338,-77.06514
3104,alfred bernhard nobel,comas,jiron puquio 189,secundaria,privada - particular,-11.96035,-77.04847
3109,alfredo delp,comas,calle paurcapata,primaria,privada - particular,-11.91342,-77.00829
3111,amadeus wolfgang mozart,comas,prolong los angeles 328 - 330 etapa ii,primaria,privada - particular,-11.94151,-77.05736
3115,amigo de jesus,comas,avenida guillermo de la fuente 317,inicial - jardin,privada - particular,-11.94163,-77.06168
3117,ana maria kan ii,comas,pasaje emilio torrico s/n mz p lote 7,primaria,privada - particular,-11.92765,-77.03897
3119,ana maria rivier,comas,avenida virgen del carmen 216,inicial - jardin,privada - particular,-11.93822,-77.04472
3124,angelitos de santa maria,comas,jiron felipe pinglo 341,inicial - jardin,privada - particular,-11.91243,-77.02597
3126,anton makarenko,comas,jiron san german 301,inicial - jardin,privada - particular,-11.91467,-77.04298
3129,antonia moreno de caceres,comas,prolongacion husares de junin 110,secundaria,privada - particular,-11.93729,-77.05383
3132,antonio lorenzo de lavoisier,comas,pasaje 66 s/n mz m lote 10 etapa iii,inicial - jardin,privada - particular,-11.93479,-77.05867
3134,baldor de comas,comas,calle cipreses 488 mz a lote 4 5,inicial - jardin,privada - particular,-11.93823145,-77.04733825
3137,barton de comas,comas,calle 13-b lotes 7-8-9 mz k,primaria,privada - particular,-11.96869,-77.06034
3139,bautista de la pascana,comas,jiron abraham valdelomar 496,secundaria,privada - particular,-11.9352,-77.04499
3142,bautista filadelfia,comas,jiron colmena 313,secundaria,privada - particular,-11.95907,-77.04737
3145,benjamin carson,comas,calle jose santos atahualpa 151,inicial - jardin,privada - particular,-11.92843,-77.05096
3146,benjamin carson el retablo,comas,avenida universitaria norte 7945 etapa iv,primaria,privada - particular,-11.93056,-77.05426
3148,berne,comas,avenida republica del peru mz x lote 16 etapa i,secundaria,privada - particular,-11.95314,-77.0529
